carat,cut,color,clarity,depth,table,price,x,y,z
1.42,Premium,G,VS1,62.1,56,11434,7.27,7.22,4.5
0.31,Premium,D,VS2,61.7,58,636,4.32,4.37,2.68
0.58,Ideal,E,SI2,62.8,56,1346,5.3,5.37,3.35
0.31,Very Good,E,SI1,62.7,58,544,4.31,4.33,2.71
1.32,Premium,H,VS1,61.3,58,5958,7.09,7.01,4.32
1.54,Premium,H,IF,62.5,58,12308,7.38,7.33,4.6
0.3,Ideal,G,VVS1,61.3,56,789,4.3,4.34,2.65
0.31,Ideal,G,VS2,61.7,57,544,4.33,4.36,2.68
0.32,Very Good,F,SI1,62.7,57,533,4.37,4.4,2.75
0.32,Ideal,E,VS2,61.1,56,846,4.46,4.48,2.73
1.07,Premium,F,SI2,61.8,59,4644,6.57,6.53,4.05
0.41,Ideal,F,VVS1,60.9,56,1356,4.83,4.79,2.93
0.7,Ideal,E,VS2,62.2,55,2616,5.72,5.69,3.55
0.32,Ideal,H,SI1,61.2,56,430,4.43,4.46,2.72
0.75,Premium,G,SI2,61,58,2216,5.9,5.94,3.61
0.26,Very Good,H,VVS2,59.8,61,440,4.15,4.18,2.49
1.2,Ideal,H,VS2,62.8,57,4771,6.71,6.67,4.2
1.26,Ideal,F,IF,62.6,57,13671,6.94,6.84,4.31
2.1,Very Good,G,SI2,63.4,58,13007,8.19,8.12,5.17
1,Fair,H,VS1,64.6,59,5242,6.3,6.26,4.06
0.4,Very Good,G,SI1,61.6,59,702,4.66,4.72,2.89
0.3,Ideal,H,VS2,62.5,57,491,4.26,4.29,2.67
1.04,Premium,J,SI1,60.2,56,4036,6.61,6.54,3.96
1.6,Ideal,F,VS1,60.5,57,18571,7.6,7.63,4.61
1.45,Fair,F,I1,64.8,67,4320,7.16,7,4.64
0.7,Ideal,D,SI1,61.2,54,2310,5.79,5.75,3.53
0.31,Ideal,G,VVS2,62,56,726,4.33,4.35,2.69
0.3,Premium,H,VVS2,61.5,58,605,4.28,4.3,2.64
1.55,Ideal,I,SI2,60.7,60,8056,7.49,7.46,4.54
0.74,Ideal,J,VS1,61.6,57,2154,5.77,5.83,3.57
0.43,Good,F,VS1,57.9,61,931,4.99,5.03,2.9
0.54,Ideal,G,VVS2,60.6,56,2090,5.27,5.26,3.19
0.4,Very Good,D,SI2,63.4,59,798,4.7,4.67,2.97
0.58,Ideal,F,SI2,62.6,57,1208,5.27,5.33,3.32
0.27,Very Good,E,VS1,60.2,58,470,4.19,4.22,2.53
0.41,Ideal,G,VVS1,62,56,1151,4.78,4.8,2.97
0.5,Ideal,D,VS1,62.3,54.3,2033,5.05,5.12,3.17
1.05,Premium,D,SI1,58.6,60,5821,6.73,6.66,3.92
0.71,Very Good,H,SI1,61.2,56,2076,5.69,5.72,3.49
1,Fair,E,VVS2,56.8,58,7553,6.59,6.64,3.76
0.41,Ideal,G,VS2,62.5,56,827,4.72,4.75,2.96
1.39,Very Good,G,SI2,61.5,62,6628,7.09,7.16,4.38
1.01,Good,D,VS2,61.6,61,6429,6.43,6.45,3.97
1.91,Fair,H,SI2,64.6,56,6632,7.76,7.7,4.99
0.92,Very Good,F,SI1,62.2,55,4621,6.19,6.26,3.87
0.49,Premium,G,SI1,62.4,58,1072,5.05,4.99,3.13
1,Very Good,G,VS2,61.1,55,7743,6.44,6.5,3.95
2.14,Premium,I,SI1,59.5,59,15499,8.42,8.36,4.99
0.63,Ideal,D,VS2,61.1,55,2106,5.6,5.56,3.41
0.41,Fair,I,VS1,65.3,58,735,4.62,4.66,3.03
0.81,Ideal,E,SI1,61.3,57,3338,6.08,6.03,3.71
1.17,Very Good,H,SI2,62.7,56,4826,6.68,6.74,4.21
0.34,Ideal,J,VVS1,62.1,54.2,504,4.48,4.51,2.79
1.01,Ideal,F,SI2,62.9,57,4858,6.35,6.41,4.01
0.74,Ideal,G,SI1,62.7,56,2309,5.78,5.74,3.61
1.2,Ideal,J,VS1,61,57,5722,6.81,6.89,4.18
1.3,Ideal,F,VVS2,62.1,55,12629,6.96,7.04,4.35
0.34,Ideal,G,VS2,61.3,55,596,4.49,4.51,2.76
0.32,Ideal,D,VVS2,59.9,59,854,4.45,4.46,2.67
0.46,Ideal,F,SI1,62.5,56,1018,4.94,4.92,3.08
1.56,Ideal,G,VS1,61.3,56,16052,7.48,7.44,4.57
0.91,Good,D,SI2,63.8,58,3781,6.09,6.04,3.87
1.01,Premium,F,SI2,62.2,59,5096,6.41,6.38,3.98
0.7,Very Good,J,VVS1,63.3,55,2042,5.63,5.68,3.58
1.32,Premium,F,SI2,60.6,60,6541,7.05,7.1,4.29
1.12,Very Good,H,SI2,62.9,58,4498,6.55,6.62,4.14
1.01,Very Good,F,VS2,63.5,58,5650,6.35,6.32,4.02
1.13,Ideal,H,SI2,61.6,55,4911,6.68,6.72,4.13
0.7,Very Good,I,VVS2,58.6,60,2106,5.79,5.91,3.43
0.32,Ideal,E,IF,61.1,58,1018,4.42,4.45,2.71
0.51,Ideal,E,VS1,61.5,56,1851,5.16,5.11,3.16
0.3,Premium,F,VVS1,61.8,59,1114,4.29,4.26,2.64
1.5,Premium,G,SI1,62.9,56,9954,7.34,7.22,4.58
0.3,Good,E,VVS2,59.5,59,622,4.35,4.39,2.6
2.2,Very Good,I,SI2,60.2,60,15424,8.42,8.49,5.09
1,Ideal,D,SI1,62.2,56,5880,6.38,6.35,3.96
0.72,Very Good,H,SI2,62.9,57,1970,5.64,5.68,3.56
1.09,Premium,E,SI2,61.4,58,5127,6.67,6.63,4.08
0.55,Ideal,D,VS2,61.7,57,1848,5.21,5.26,3.23
0.55,Ideal,I,SI1,61.4,54,1076,5.3,5.35,3.27
0.7,Ideal,I,VS1,63.1,54,2142,5.61,5.67,3.56
0.3,Ideal,G,VVS1,61.9,55,976,4.32,4.34,2.68
0.71,Premium,E,VS2,61.5,60,2858,5.76,5.68,3.52
0.32,Premium,G,VS1,62.1,58,828,4.39,4.37,2.72
1.16,Premium,I,VS2,62.2,58,4958,6.74,6.67,4.17
1.03,Ideal,F,VS2,59.1,55,6543,6.6,6.69,3.93
0.28,Ideal,G,VVS2,61.4,56,553,4.19,4.22,2.58
0.33,Ideal,G,VS2,62.6,56,743,4.41,4.38,2.75
0.33,Ideal,J,VS1,62.1,55,557,4.44,4.41,2.75
0.5,Fair,E,SI2,64.7,57,945,4.98,4.88,3.19
0.7,Good,G,VS1,65.1,58,2803,5.56,5.59,3.63
0.27,Very Good,E,VVS1,62.3,56,682,4.16,4.19,2.6
1.01,Premium,G,VS1,62.7,58,6221,6.31,6.36,3.97
0.53,Ideal,E,VS2,62.1,56,1721,5.17,5.2,3.22
0.3,Premium,G,VVS2,60.8,58,878,4.38,4.34,2.65
1.04,Ideal,F,VS2,62,55,7459,6.47,6.52,4.03
0.55,Ideal,E,SI1,60.7,57,1668,5.3,5.27,3.21
1.03,Very Good,G,SI2,59.2,63,4473,6.55,6.6,3.89
0.63,Ideal,E,VS2,62.1,56,2156,5.54,5.51,3.43
0.9,Very Good,H,VS1,63.2,59,4324,6.08,6.11,3.85
0.75,Ideal,G,VVS2,62,56,3740,5.79,5.85,3.61
0.71,Ideal,E,SI2,62.6,55,1991,5.72,5.68,3.57
0.79,Good,F,SI1,58.1,59,2756,6.06,6.13,3.54
1.57,Premium,I,VS2,62.2,59,9478,7.44,7.42,4.62
0.42,Ideal,D,SI1,62.1,54,761,4.84,4.86,3.01
0.74,Premium,E,SI2,61.3,59,2527,5.83,5.78,3.56
0.33,Ideal,E,SI1,62.4,56,743,4.43,4.41,2.76
0.29,Ideal,F,VS1,61.6,56,555,4.26,4.31,2.64
0.3,Ideal,G,VS2,62,54,545,4.33,4.35,2.69
1,Premium,F,SI1,61.6,60,5197,6.31,6.41,3.9
1,Very Good,G,VS2,63.8,58,6389,6.31,6.35,4.04
1.11,Ideal,G,SI1,61.9,57,5408,6.63,6.66,4.11
0.83,Very Good,F,SI1,61.9,58,3322,5.97,6.01,3.71
0.5,Very Good,H,VVS1,63.3,57,1715,5.06,5.02,3.19
0.31,Very Good,H,VVS2,61.4,58,625,4.32,4.37,2.67
0.3,Premium,I,VS1,61.6,60,608,4.3,4.27,2.64
0.71,Very Good,E,VS1,62.1,57,3009,5.67,5.69,3.53
0.7,Premium,E,SI2,60.8,59,2463,5.75,5.7,3.48
0.5,Good,H,SI1,64.5,58,1017,4.97,4.99,3.21
2.05,Premium,F,SI2,60.2,59,18784,8.28,8.33,5
0.3,Ideal,E,VVS1,61.8,56,895,4.3,4.31,2.66
0.7,Very Good,G,VS1,62.5,58,2437,5.63,5.69,3.54
0.3,Good,I,SI1,63.4,57,394,4.23,4.25,2.69
0.75,Ideal,F,SI2,62.1,55,2586,5.83,5.87,3.63
0.56,Ideal,H,VVS1,60.8,57,1929,5.3,5.35,3.24
0.55,Ideal,G,VS2,61.2,55,1833,5.3,5.35,3.26
0.55,Very Good,E,VS2,61,59,1831,5.31,5.34,2.25
0.37,Ideal,F,SI1,62.4,54,791,4.63,4.6,2.88
0.61,Premium,D,VS1,61.5,58,2306,5.46,5.4,3.34
0.7,Ideal,E,SI2,62.1,56,2475,5.68,5.65,3.52
0.37,Ideal,G,SI1,61.1,56,531,4.64,4.66,2.84
0.61,Very Good,E,SI1,63.3,60,1726,5.36,5.29,3.37
1.3,Very Good,I,VS1,62.6,57,6819,6.92,6.95,4.34
1.01,Very Good,G,VS1,63.1,57,6936,6.32,6.39,4.01
1.29,Premium,H,SI1,62.9,59,6588,7,6.84,4.35
2.02,Ideal,J,SI2,62.7,56.9,11314,8.03,8.07,5.05
0.74,Ideal,F,VVS2,61.4,56,3842,5.83,5.86,3.59
1.37,Ideal,J,SI2,62.2,55,6091,7.07,7.11,4.41
1.06,Very Good,D,VS2,59.6,60,7149,6.68,6.71,3.99
1.01,Very Good,E,SI1,63.4,55,6501,6.38,6.42,4.06
1.24,Very Good,J,SI2,60.4,61,4737,6.85,6.92,4.16
0.7,Very Good,D,VS1,60.1,60,3208,5.73,5.76,3.45
2,Good,I,VS1,58.8,65,15851,8.1,8.03,4.74
0.3,Ideal,G,IF,61.8,55,813,4.33,4.35,2.68
1.03,Ideal,G,VS1,62.2,59,7211,6.48,6.42,4.01
0.71,Ideal,E,VS1,61.4,59,3198,5.71,5.75,3.52
0.52,Ideal,G,VS1,61.2,56,1803,5.19,5.23,3.19
0.3,Ideal,F,VVS1,61.9,57,868,4.3,4.33,2.67
1.12,Premium,F,VS1,62.1,60,7781,6.62,6.58,4.1
2.01,Good,I,SI1,58.8,60,16731,8.27,8.19,4.84
0.59,Premium,F,SI1,61.7,60,1412,5.37,5.39,3.32
1.17,Ideal,G,VS2,62.2,57,6321,6.75,6.72,4.19
1.18,Ideal,E,I1,61.6,56,4229,6.82,6.79,4.19
1.51,Premium,F,VS2,61.1,59,14294,7.37,7.32,4.49
0.77,Ideal,E,VS1,62,56,3697,5.87,5.9,3.65
1.01,Good,E,VS2,63.3,60,6399,6.3,6.33,4
0.71,Fair,I,VS2,64.7,60,2208,5.54,5.46,3.56
0.91,Very Good,H,VS2,63.1,59,3853,6.16,6.13,3.88
0.52,Good,E,SI2,60.5,62,1199,5.15,5.2,3.13
1.45,Premium,F,VS2,61.1,58,11650,7.31,7.23,4.44
0.32,Very Good,E,SI1,62.3,55,584,4.36,4.38,2.72
0.8,Premium,F,VS2,62,61,3369,5.99,5.91,3.69
0.5,Very Good,E,VS2,63.5,54,1629,5.08,5.03,3.21
0.51,Very Good,D,SI2,60.3,57,1204,5.15,5.17,3.11
0.72,Ideal,D,VS2,62.7,56,3219,5.71,5.78,3.6
0.3,Ideal,G,SI1,61.6,57,432,4.29,4.34,2.66
0.71,Ideal,E,VS2,62.7,56,2891,5.71,5.75,3.59
0.74,Ideal,H,VVS1,62.5,55,3287,5.76,5.79,3.61
0.5,Good,D,VS2,63.4,56,1635,5.05,5.1,3.22
0.41,Premium,E,SI1,62.3,56,1059,4.78,4.76,2.97
1.54,Good,I,SI2,57.9,62,5989,7.63,7.5,4.38
0.54,Ideal,D,VS1,62.1,57,2004,5.19,5.22,3.23
1.29,Ideal,F,SI2,61.9,55,7126,6.95,7.01,4.32
1.18,Premium,F,SI1,62.3,59,6542,6.75,6.67,4.18
1,Very Good,F,SI1,61.6,61,5197,6.3,6.37,3.9
0.31,Ideal,D,VS2,62.5,56,734,4.34,4.36,2.72
0.78,Ideal,I,VVS2,62.4,56,3267,5.87,5.9,3.67
1.7,Premium,G,VVS2,61.5,60,17228,7.64,7.59,4.68
0.57,Ideal,E,VS2,61.8,55,1949,5.38,5.34,3.31
1.13,Ideal,G,VVS1,59.6,57,9872,6.89,6.81,4.08
0.32,Ideal,E,IF,60.6,60,1004,4.43,4.45,2.69
0.51,Premium,F,SI1,60.5,59,1421,5.18,5.13,3.12
0.91,Premium,I,VS2,62.4,61,3376,6.18,6.16,3.85
0.7,Very Good,F,VS2,59.5,58,2812,5.75,5.85,3.45
0.56,Good,F,VS1,63,59,1758,5.24,5.27,3.31
0.7,Very Good,D,SI1,62.6,57,2726,5.67,5.7,3.56
0.55,Premium,E,SI2,58.4,61,1134,5.37,5.31,3.12
1.01,Very Good,G,IF,63,60,7974,6.31,6.35,3.99
0.45,Ideal,I,VS1,61.6,54,825,4.95,4.99,3.06
0.91,Very Good,D,SI1,63.5,56,4389,6.13,6.18,3.91
0.36,Very Good,D,VS1,62.8,55,793,4.52,4.55,2.85
0.42,Ideal,E,VS1,61.6,57,1181,4.84,4.8,2.97
1.5,Good,I,SI1,64.3,55,8736,7.24,7.19,4.64
1.33,Premium,H,SI2,62.8,52,6405,7.15,7.06,4.46
1.14,Ideal,G,SI2,62.3,56,6346,6.66,6.69,4.16
0.82,Ideal,F,SI2,62.4,54,2824,6.02,5.97,3.74
1.37,Very Good,G,VS1,58.3,60,10226,7.3,7.35,4.27
0.41,Ideal,G,VVS1,60.2,57,1076,4.8,4.83,2.9
1.01,Fair,F,VS1,64.7,54,6759,6.33,6.28,4.08
0.71,Ideal,E,VS2,62,55,3247,5.7,5.75,3.55
0.4,Ideal,I,VS2,61.8,56,639,4.73,4.79,2.94
0.58,Ideal,E,VS2,61.8,57,1903,5.32,5.36,3.3
0.3,Ideal,I,VS2,62.4,55,407,4.32,4.34,2.7
0.5,Good,E,SI1,62.5,59,1293,5.04,5.07,3.16
0.73,Ideal,F,SI2,62.1,56,2712,5.8,5.76,3.59
0.24,Ideal,F,VVS2,61.5,56,540,3.99,4.01,2.46
1.02,Premium,E,SI1,61.5,58,5278,6.51,6.46,3.99
1.29,Ideal,E,SI2,62.8,57,6473,6.94,6.88,4.34
0.9,Fair,F,VS1,65.7,59,3750,5.96,5.92,3.9
1.13,Premium,G,SI1,60.9,60,5376,6.76,6.67,4.09
0.35,Ideal,D,VS2,61.5,56,829,4.53,4.55,2.79
1.51,Good,E,SI2,64.3,58,7314,7.24,7.15,4.62
0.32,Ideal,D,VS2,61.9,57,758,4.37,4.39,2.71
0.32,Premium,H,VS1,62.3,58,720,4.39,4.34,2.72
1.52,Very Good,I,SI1,62.6,60,8703,7.3,7.33,4.58
0.95,Premium,G,SI2,59.7,61,3830,6.35,6.27,3.77
2.31,Premium,H,SI2,59.2,61,13831,8.65,8.57,5.1
2.45,Ideal,J,VS2,60.4,56,18113,8.72,8.81,5.3
0.43,Premium,G,VVS1,62,59,1264,4.82,4.8,2.98
0.7,Premium,D,VS2,61.3,58,2415,5.72,5.67,3.48
0.28,Ideal,G,SI1,60.7,56,430,4.25,4.28,2.59
0.3,Ideal,I,SI1,61.7,57,422,4.3,4.32,2.66
0.3,Premium,F,SI2,61.7,62,506,4.27,4.25,2.63
1.01,Ideal,G,VS1,61.8,57,6618,6.45,6.4,3.97
0.91,Premium,F,SI1,62.7,59,3644,6.23,6.18,3.89
0.53,Very Good,J,VS2,62.7,56,996,5.15,5.18,3.24
1.36,Ideal,J,VVS2,61.9,56,6973,7.16,7.13,4.42
0.8,Very Good,H,SI2,62.7,56,2481,5.83,5.91,3.68
0.35,Premium,H,VVS2,62.5,58,906,4.51,4.48,2.81
1.01,Very Good,I,SI2,63.4,57,5000,6.3,6.39,4.02
1.71,Very Good,I,SI2,62.7,58,8896,7.59,7.54,4.74
1.1,Premium,J,SI2,60,58,3216,6.77,6.66,4.03
0.27,Very Good,E,VVS1,62.6,58,620,4.11,4.16,2.59
0.7,Very Good,G,SI1,61.7,56,2310,5.66,5.75,3.52
0.4,Very Good,D,VS2,60.5,58,720,4.76,4.82,2.9
1.09,Ideal,G,SI2,62.1,56,4586,6.59,6.66,4.12
0.9,Very Good,H,VS2,63,61,3878,6.05,6.14,3.84
0.3,Ideal,I,SI1,61.3,56,506,4.33,4.32,2.65
1.12,Premium,F,SI2,60.5,59,4570,6.73,6.79,4.09
0.73,Very Good,J,VS2,60.6,61,1952,5.77,5.81,3.51
1.51,Very Good,J,SI1,63.1,55,8049,7.25,7.32,4.6
0.71,Very Good,E,VS2,63.7,58,2922,5.6,5.64,3.58
0.54,Ideal,G,VS2,60.7,56,1637,5.29,5.25,3.2
0.91,Good,G,VS2,63.6,58,4183,6.14,6.1,3.89
1.03,Ideal,F,VS1,61.5,56,7906,6.47,6.53,4
2.19,Premium,H,SI1,61.6,58,17016,8.35,8.3,5.13
0.32,Good,H,SI1,63.1,55,449,4.34,4.37,2.75
0.26,Good,F,VVS2,60.4,61,517,4.13,4.18,2.51
0.31,Ideal,E,VS2,61.8,56,680,4.34,4.36,2.69
1.65,Premium,G,SI2,62.2,58,9970,7.62,7.55,4.72
0.31,Ideal,F,SI1,62.3,56,516,4.32,4.35,2.7
0.61,Premium,F,VVS2,59.7,58,2392,5.56,5.53,3.31
0.32,Very Good,G,VVS1,60.6,57,685,4.46,4.48,2.71
0.73,Very Good,G,SI1,60.8,56,2434,5.82,5.85,3.55
0.42,Ideal,J,VS1,60.9,57,663,4.83,4.86,2.95
0.24,Very Good,E,VVS2,63.3,57,485,3.95,3.98,2.51
2.19,Very Good,E,SI2,62.4,61,18067,8.23,8.31,5.16
1.22,Ideal,H,SI1,61.9,56,5985,6.86,6.83,4.24
0.35,Premium,E,VS2,61.4,58,853,4.55,4.51,2.78
0.43,Premium,H,SI2,62.8,58,839,4.85,4.83,3.04
0.26,Very Good,E,VVS2,61.4,57,506,4.1,4.13,2.52
1.59,Premium,H,SI1,61,58,8829,7.58,7.51,4.6
0.34,Ideal,G,VVS2,62.6,54,775,4.44,4.47,2.79
0.32,Ideal,E,VS2,60.2,57,960,4.51,4.46,2.7
0.74,Ideal,D,SI1,62.2,56,2723,5.82,5.78,3.61
0.32,Ideal,G,VS1,62.3,55,828,4.4,4.37,2.73
0.3,Ideal,I,SI2,61,59,405,4.3,4.33,2.63
0.51,Premium,E,VS2,60.6,58,1662,5.15,5.12,3.11
1.08,Ideal,G,VS2,61.3,56,6586,6.59,6.62,4.05
0.54,Ideal,G,VVS2,62.2,55,1868,5.22,5.27,3.26
1.19,Premium,D,SI2,58.6,61,4168,6.93,6.89,4.05
1.51,Ideal,F,SI1,61.5,55,12152,7.39,7.35,4.53
0.32,Premium,G,VS1,61.3,62,828,4.42,4.39,2.7
0.41,Good,F,SI1,64.4,56,659,4.69,4.72,3.03
0.4,Ideal,F,VVS1,61.8,58,1168,4.72,4.76,2.93
1.23,Ideal,I,SI2,62.1,56,5269,6.88,6.84,4.26
0.58,Ideal,D,VVS1,60.6,57,3206,5.38,5.41,3.27
0.71,Premium,F,SI2,62.3,60,2060,5.67,5.7,3.54
0.92,Ideal,E,VS1,62.6,57,5023,6.18,6.13,3.85
0.53,Very Good,H,VS1,63.4,56,1607,5.16,5.13,3.26
0.7,Good,E,SI2,63.5,56,2453,5.6,5.68,3.58
0.38,Very Good,D,SI1,59.7,60,733,4.66,4.69,2.79
1.01,Premium,F,VS2,60.9,58,6446,6.47,6.41,3.92
1.01,Premium,D,VS1,60,58,8286,6.6,6.54,3.94
1.02,Ideal,I,SI2,62.9,56,3521,6.45,6.37,4.03
0.3,Ideal,F,VVS1,62.6,56,857,4.26,4.29,2.67
0.7,Good,I,VS2,63.9,65,2268,5.6,5.56,3.56
0.72,Fair,E,SI2,68.4,64,2125,5.38,5.32,3.66
0.59,Good,F,VS2,64.9,57,1643,5.2,5.25,3.39
0.31,Ideal,E,VVS1,61.7,56,890,4.38,4.41,2.71
0.72,Ideal,F,VS1,60.5,56,3759,5.82,5.85,3.53
0.51,Ideal,G,VVS2,61.5,57,1875,5.13,5.18,3.17
0.34,Ideal,E,VS1,59.1,57,698,4.55,4.58,2.7
1.5,Good,F,VS2,58.6,64,13160,7.52,7.46,4.39
0.7,Very Good,I,SI1,63,56,2147,5.61,5.66,3.55
0.3,Ideal,G,SI2,61.4,56,422,4.33,4.34,2.66
0.73,Very Good,F,VS2,62.7,58,2939,5.73,5.75,3.6
0.75,Fair,J,VS1,61.9,67,1869,5.8,5.7,3.56
0.31,Ideal,D,VVS2,61.9,55,777,4.36,4.39,2.71
1,Good,H,VS1,60.2,63,5668,6.43,6.47,3.88
0.29,Ideal,H,IF,62.1,55,607,4.26,4.29,2.65
0.23,Good,E,VVS1,56.3,62,498,4.1,4.11,2.31
0.3,Premium,H,VVS1,63,58,878,4.25,4.22,2.67
0.72,Ideal,G,VS1,60.4,57,3478,5.81,5.84,3.52
0.5,Ideal,G,VS1,62,54,1569,5.11,5.15,3.18
0.34,Ideal,D,VVS1,61.7,56,1211,4.48,4.46,2.76
0.31,Ideal,G,VVS1,60.8,56,772,4.41,4.43,2.69
0.41,Very Good,E,SI1,59.3,61,705,4.8,4.84,2.86
0.55,Ideal,H,VS1,61.9,55,1588,5.25,5.28,3.26
1.51,Very Good,I,VS1,61.8,63,9467,7.28,7.34,4.52
1.15,Ideal,E,VVS2,61.5,57,12193,6.72,6.75,4.14
1.01,Ideal,G,SI2,59.5,57,4079,6.56,6.59,3.91
0.71,Ideal,H,VS1,62.2,57,2559,5.66,5.73,3.54
0.29,Ideal,D,VS1,61.7,57,647,4.26,4.23,2.62
0.3,Ideal,E,VVS2,61.6,57,789,4.29,4.32,2.65
0.75,Ideal,D,SI2,61.5,55,2618,5.85,5.89,3.61
1.02,Ideal,F,SI1,60.1,59,5549,6.59,6.56,3.95
0.51,Premium,G,VVS2,61.7,58,1974,5.14,5.11,3.16
0.91,Ideal,H,SI2,60.3,57,3363,6.31,6.27,3.79
0.4,Ideal,E,VVS2,61.6,56,1056,4.78,4.73,2.93
0.42,Ideal,F,VVS2,61.6,55,1069,4.84,4.87,2.99
0.38,Ideal,E,VS1,62.1,57,1027,4.62,4.65,2.88
1.71,Ideal,E,SI2,62.7,55,12978,7.62,7.69,4.8
0.31,Ideal,E,VS1,62,55,800,4.35,4.38,2.7
0.39,Premium,H,VVS1,61.5,56,990,4.73,4.7,2.9
0.41,Ideal,F,VS1,62,57,1076,4.76,4.73,2.94
0.71,Ideal,H,VVS1,62,57,2739,5.71,5.75,3.55
0.52,Ideal,G,VVS2,61.6,55,1957,5.14,5.18,3.19
1.52,Premium,E,SI1,62.4,59,10963,7.37,7.34,4.59
0.83,Ideal,J,VS2,62.3,55,2742,6.01,6.03,3.75
0.53,Premium,D,VS2,60.2,58,1808,5.23,5.26,3.16
0.3,Very Good,H,VVS1,63.3,59,878,4.28,4.22,2.69
0.33,Ideal,G,VS1,61.1,55,699,4.5,4.52,2.75
0.3,Ideal,E,VVS2,62.1,54,742,4.32,4.35,2.69
0.45,Ideal,F,VVS1,61.8,55,1833,4.92,4.95,3.05
0.31,Premium,E,VS1,61,58,942,4.39,4.37,2.67
0.7,Premium,D,VS2,59.6,61,2859,5.8,5.77,3.45
0.3,Good,G,VVS2,63.5,54,684,4.25,4.26,2.7
0.73,Very Good,D,SI2,60.3,60,2374,5.82,5.89,3.53
0.6,Ideal,H,VVS2,62.2,55,1931,5.38,5.43,3.36
0.83,Premium,F,VS2,60.2,60,3495,6.09,6.04,3.65
1.39,Ideal,J,VS2,60.3,57,6366,7.26,7.24,4.37
0.58,Ideal,E,SI1,61.5,55,1636,5.34,5.39,3.3
0.53,Ideal,D,VVS2,61.6,56,3346,5.21,5.24,3.22
2.04,Premium,G,I1,62.4,58,9905,8.17,8.08,5.07
0.38,Premium,J,VS1,62.1,60,600,4.6,4.64,2.87
0.33,Premium,G,VS1,61.8,59,854,4.45,4.39,2.73
0.57,Ideal,D,SI1,62.4,56,1847,5.32,5.29,3.31
0.31,Ideal,E,SI1,62.8,57,698,4.34,4.32,2.72
0.58,Ideal,I,VVS2,62,56,1369,5.34,5.38,3.32
0.5,Very Good,F,VS2,59.4,59,1436,5.19,5.22,3.09
1.09,Ideal,G,SI2,61.2,57,4670,6.68,6.63,4.07
1.09,Premium,D,SI1,61.6,58,5799,6.61,6.57,4.06
0.72,Ideal,I,VS2,62.1,58,2347,5.74,5.72,3.57
0.91,Very Good,J,VS1,62.1,55,3666,6.16,6.24,3.85
0.3,Very Good,D,SI2,62.9,58,447,4.26,4.29,2.69
0.3,Very Good,D,VVS2,63.2,55,754,4.27,4.3,2.71
0.42,Ideal,G,VS2,62.1,56,847,4.79,4.84,2.99
0.77,Ideal,D,VS2,61.6,55,3980,5.88,5.91,3.63
0.33,Ideal,E,VS2,61.8,55,928,4.48,4.45,2.76
0.57,Ideal,E,SI1,61.8,57,1608,5.28,5.33,3.28
