"","ViolentCrimesPerPop","population","householdsize","racepctblack","racePctWhite","racePctAsian","racePctHisp","agePct12t21","agePct12t29","agePct16t24","agePct65up","numbUrban","pctUrban","medIncome","pctWWage","pctWFarmSelf","pctWInvInc","pctWSocSec","pctWPubAsst","pctWRetire","medFamInc","perCapInc","whitePerCap","blackPerCap","indianPerCap","AsianPerCap","HispPerCap","NumUnderPov","PctPopUnderPov","PctLess9thGrade","PctNotHSGrad","PctBSorMore","PctUnemployed","PctEmploy","PctEmplManu","PctEmplProfServ","PctOccupManu","PctOccupMgmtProf","MalePctDivorce","MalePctNevMarr","FemalePctDiv","TotalPctDiv","PersPerFam","PctFam2Par","PctKids2Par","PctYoungKids2Par","PctTeen2Par","PctWorkMomYoungKids","PctWorkMom","NumKidsBornNeverMar","PctKidsBornNeverMar","NumImmig","PctImmigRecent","PctImmigRec5","PctImmigRec8","PctImmigRec10","PctRecentImmig","PctRecImmig5","PctRecImmig8","PctRecImmig10","PctSpeakEnglOnly","PctNotSpeakEnglWell","PctLargHouseFam","PctLargHouseOccup","PersPerOccupHous","PersPerOwnOccHous","PersPerRentOccHous","PctPersOwnOccup","PctPersDenseHous","PctHousLess3BR","MedNumBR","HousVacant","PctHousOccup","PctHousOwnOcc","PctVacantBoarded","PctVacMore6Mos","MedYrHousBuilt","PctHousNoPhone","PctWOFullPlumb","OwnOccLowQuart","OwnOccMedVal","OwnOccHiQuart","OwnOccQrange","RentLowQ","RentMedian","RentHighQ","RentQrange","MedRent","MedRentPctHousInc","MedOwnCostPctInc","MedOwnCostPctIncNoMtg","NumInShelters","NumStreet","PctForeignBorn","PctBornSameState","PctSameHouse85","PctSameCity85","PctSameState85","LandArea","PopDens","PctUsePubTrans","LemasPctOfficDrugUn"
"11",373.54,13786,2.52,5.74,93.4,0.37,0.62,14.44,25.21,12.32,12.84,0,0,24676,72.74,0.73,32.47,29.19,9.5,15.38,30457,12130,12435,7592,7341,21573,5840,1979,14.52,15.57,32.53,14.88,4.66,59.27,30.63,20.22,24.42,24.39,9.68,21.29,12.83,11.39,2.95,76.23,72.2,90.91,71.61,63.19,68.34,160,1.41,77,0,16.88,22.08,42.86,0,0.09,0.12,0.24,97.82,0.33,2.49,1.84,2.48,2.55,2.35,67.65,2.1,41.68,3,428,92.76,65.83,1.17,38.32,1970,8.85,0.91,36800,52700,73800,37000,110,189,249,139,315,22.8,17.4,12.9,0,0,0.56,74.08,55.76,86.32,91.73,48.1,286.5,0,0
"12",159.32,21249,3.57,4.72,92.84,0.84,3.22,19.11,34.89,20.95,7.15,10620,49.98,41933,84.5,0.84,43.97,22.28,5,15.9,50080,14088,14654,7676,4957,9887,3468,808,4.74,4.65,17.09,21.74,6.22,59.92,13.94,27.58,11.04,28.18,10.84,42.94,8.29,9.66,3.33,83.06,82.05,89.92,89.48,59.93,71.3,198,1.62,912,6.58,8.55,14.25,20.5,0.28,0.37,0.61,0.88,92.06,1.06,5.59,4.2,2.87,3.16,2.23,75.57,1.6,39.07,3,283,95.46,68.56,0.35,27.56,1970,1.46,0.21,136200,163500,195800,59600,484,651,754,270,690,28.2,23,14.3,0,0,4.29,80.31,51.71,72.03,94.66,28.5,746.1,1.5,0
"13",288.65,12476,2.96,8.68,76.02,0.79,22.15,17.63,30.86,16.31,11.5,12476,100,18549,71.86,1.08,25.67,27.48,9.66,16.99,22642,9359,10710,5398,7860,3366,4774,2943,25.98,19.11,37.61,12.59,8.72,51.54,17.75,30.08,20.52,20.98,9.45,29.54,14.37,12.03,3.25,70.32,64.86,72.86,76.59,55.52,65.14,162,1.58,707,21.22,28.29,32.67,51.06,1.2,1.6,1.85,2.89,80.54,2.95,6.75,4.86,2.7,2.7,2.71,56.82,7.09,48.89,3,449,90.37,56.92,3.12,35.86,1967,15.42,0.54,30300,44700,68500,38200,132,220,298,166,283,26.5,20.8,13.1,0,0,5.67,70.99,45.78,73.81,91.54,11.2,1118.3,0.24,0
"14",930.28,18794,2.67,19.12,80.38,0.27,0.46,13.87,26.24,12.56,12.15,0,0,26498,77.22,1.83,28.94,27.49,8.68,13.15,32413,11677,12730,7055,29208,21306,6478,3015,16.34,17.27,36.09,11.55,6.6,60.45,31.2,20.38,25.34,20.43,12,24.95,15.11,13.67,3.07,69.16,63.87,80.26,77.61,67.51,71.72,550,3.6,134,29.85,29.85,39.55,39.55,0.21,0.21,0.28,0.28,98.04,0.13,3.93,2.89,2.6,2.65,2.51,62.55,3.06,44.62,3,607,92.05,61.34,1.98,28.5,1969,7.81,0.21,46200,61900,82400,36200,194,306,372,178,382,24,18.7,13.4,6,0,0.71,75.08,43.45,80.27,89.34,21.9,859.6,0.45,0
"15",150.9,12381,2.77,0.9,98.61,0.34,0.36,16.7,25.53,14.13,13.38,8435,68.13,25500,73.58,0.35,42.38,33.48,6.09,17.01,29842,11677,11748,1428,4994,1000,5028,869,7.47,8.52,22.95,9.99,6.24,54.45,13.92,24.5,18.08,19.31,7.68,26.36,8.41,8.07,3.04,81.5,78.85,84.41,85.15,63.67,65.25,104,1.08,164,0,3.66,3.66,20.12,0,0.05,0.05,0.27,97.33,0.22,3.57,2.7,2.61,2.68,2.27,84.88,0.96,35.87,3,293,93.86,82.64,4.1,53.58,1961,1.07,0.61,32400,49000,68000,35600,205,276,366,161,352,22.6,16.3,13.1,0,0,1.32,90.53,67.55,88.37,94.64,48.3,256.2,0.23,0
"16",122.88,17623,2.61,0.83,93.71,3.41,8.63,11.11,23.94,11.61,18.06,17623,100,38248,76.13,0.24,53.49,37.23,3.01,18.58,45118,17910,18069,15513,0,16410,12374,547,3.11,14.86,32.3,15,5.05,62.1,23.1,15.99,14.04,21.34,5.85,28.92,9.18,7.63,3.06,80.55,79.05,91.51,79.05,57.01,66.47,94,0.75,3510,12.14,17.83,22.93,28.52,2.42,3.55,4.57,5.68,70.58,4.87,3.71,2.81,2.61,2.7,2.46,64.47,2.16,44.94,3,183,97.36,62.35,0.55,30.05,1950,1.17,0.26,164900,185600,210100,45200,404,542,723,319,623,23.3,22.6,17.5,0,0,19.92,59.34,66.93,84.7,91.94,2.8,6408.4,4.69,0
"17",2193.23,22906,2.84,38.27,60.06,0.92,1.45,16.24,31.45,15.07,10.56,0,0,18858,73.98,1.62,26.79,27.79,14.67,11.52,22074,8925,11677,4629,6983,11207,4884,5617,25.55,17.16,33.68,13.67,8.69,58.42,25.62,23.59,22.14,20.13,10.66,29.54,12.94,11.87,3.27,66.43,60.16,69.5,68.52,56.56,65.75,1933,9.97,253,26.48,28.85,49.8,60.08,0.29,0.32,0.55,0.66,96.96,0.46,6.89,5.09,2.73,2.64,2.82,46.34,5.29,49.33,3,827,90.71,47.98,9.67,56.59,1963,11.28,0.81,30300,45200,65100,34800,149,222,302,153,348,27.7,20.4,16.9,26,0,1.1,52.64,41.83,71.16,74.08,12,1910.7,0.45,0
"18",3530.78,87492,3.29,56.42,19,1.32,31.17,17.6,31.78,15.89,7.72,87492,100,17386,69.28,0.09,12.29,24.94,26.92,12.29,18874,7276,9803,6965,66423,6441,6003,30588,36.56,20.02,50.33,6.44,16.3,46.1,19.29,27.65,24,13.89,13.69,51.26,18.62,16.34,3.71,32.86,26.62,31.47,33.55,45.56,54.73,17760,24.19,3436,25.7,35.54,46.97,58.47,1.01,1.4,1.84,2.3,69.67,7.12,16.47,11.93,3.15,3.15,3.15,48.4,15.24,48.76,3,3512,88.35,48.39,39.89,63.87,1945,20.8,1.76,21500,31300,42900,21400,167,323,416,249,414,32.5,20.6,16.2,293,122,3.93,55.54,55.36,85.83,90.57,9.1,9575.4,18.34,3.09
"19",113.34,24730,2.34,0.21,98.63,0.67,1.01,11.5,22.54,11.15,21.77,0,0,20927,64.73,0.25,44.64,44.3,8.6,21.07,26818,11512,11359,14762,8251,41141,8886,3292,13.48,11.83,28.34,10.31,6.05,51.83,26.25,22.9,24.77,20.07,8.11,30.66,9.59,8.93,2.97,72.57,70.75,76.9,70.12,46.01,56.71,373,1.86,619,10.34,11.63,14.7,19.71,0.26,0.29,0.37,0.49,93.38,0.6,3.92,2.51,2.32,2.49,2.05,64.84,1,39.43,3,769,93.22,60.33,2.21,56.83,1939,2.91,0.31,29800,43900,67600,37800,179,242,312,133,306,24.1,19.3,14.6,0,0,2.5,88.85,69.51,90.66,95.63,6.2,3994.6,1.43,0
"20",1501.93,41711,3.28,29.58,57.37,3.96,19.33,29.2,49.87,35.94,8.48,41711,100,28289,78.65,0.72,33.31,25,10.16,11.84,32966,11252,12735,9591,12237,9675,7647,7561,21.96,15.92,34,23.41,8.85,57.84,15.94,32.03,15.01,23.85,7.62,61.76,9.73,8.74,3.25,50.14,42.94,59.12,44.96,67.51,73.06,2757,12.96,6989,24.7,37.73,50.91,63.13,4.14,6.32,8.53,10.58,72.41,7.03,10.59,6.86,2.7,2.71,2.69,32.54,10.53,65.85,2,845,93.77,32.33,7.46,31.01,1949,8.98,1.69,95600,126700,157000,61400,407,569,723,316,640,29.9,28,18.9,105,17,16.76,50.29,38.48,60.05,83.44,5.4,7709.4,12.35,4.84
"21",1246.89,77759,2.64,35.49,62.85,1.34,0.77,23.36,38.8,26.5,10.61,77759,100,19568,76.89,0.5,33.56,24.15,8.16,13.04,28731,11469,14469,6306,11096,7372,5757,18455,26.72,11.4,27.92,27.29,6.93,51.72,11.73,39.97,11.82,31.48,8.85,46.5,12.31,10.68,3.05,61.94,55.03,67.95,63.08,66.46,72.86,4261,8.49,1656,43.9,55.31,58.88,65.94,0.93,1.18,1.25,1.4,95.93,0.43,5.06,2.98,2.35,2.59,2.14,51.61,3.52,52.3,2,1727,94.46,46.86,3.07,39.09,1967,5.8,0.62,44500,62900,89600,45100,174,258,339,165,342,31.7,19,12.6,17,11,2.13,72.02,45.46,69.1,84.99,48.8,1593.9,0.47,11.31
"22",708.53,23101,2.56,25.58,72.23,1.33,1.81,14.05,27.69,13.25,11.83,23101,100,26934,76.46,0.56,29.11,26.95,7.39,21.08,31516,11897,13350,8088,5139,11083,8720,3264,14.41,12.64,32.58,10.03,7.2,60.04,21.27,18.01,19.76,17.6,12.31,27.88,14.7,13.59,3.02,62.72,57.73,68.26,70.3,62.58,69.12,1179,6.07,598,9.87,9.87,17.22,23.08,0.26,0.26,0.45,0.6,94.97,0.43,4.34,3.11,2.53,2.58,2.46,58.1,2.74,40.08,3,611,93.65,56.93,3.11,34.53,1964,9.72,0.73,41800,54300,70300,28500,183,288,353,170,389,24.5,17.3,12.6,0,1,2.59,61.87,54.15,76.18,87.44,10.6,2176.1,0.39,0
"23",3268.26,23755,2.72,58.44,41,0.43,0.29,16.96,27.15,13.5,13.84,0,0,15917,64.31,0.73,23.41,36.45,19.72,14.93,20385,8844,14108,5143,913,16380,5584,8233,35.71,16.59,39.46,15.59,10.89,46.94,23.33,28.76,21.95,25.57,10.73,34.3,15.26,13.35,3.3,50.33,42.57,56.43,54.01,59.79,61.43,3044,13.18,153,48.37,57.52,57.52,73.86,0.31,0.37,0.37,0.48,97.1,0.51,8.5,5.88,2.64,2.63,2.65,53.23,5.78,44.17,3,825,91.37,53.35,2.91,49.21,1963,11.5,1.92,31400,45500,66000,34600,99,161,236,137,264,29.1,17.8,13.7,28,0,0.64,86.06,58.4,87.29,94.14,14.4,1647.8,0.29,0
"24",1304.02,27341,2.29,45.6,51.64,1.4,5.98,10.47,22.1,10.09,27.04,27341,100,20731,60.34,0.5,35.7,46.37,4.85,16.4,25156,11295,12840,9742,12488,8918,8642,3812,14.17,11.42,31.89,9.68,7.49,49.28,9.74,24.3,12.29,16.83,10.01,26.99,13.46,11.98,2.87,55.44,52.24,65.39,59.06,71.77,77.43,1565,7.24,8871,13.8,23.79,34.28,48.11,4.48,7.72,11.12,15.61,79.27,3.36,5.54,3.34,2.26,2.14,2.49,62.51,6.97,81.04,2,1959,85.93,65.98,0.92,36.7,1974,2.42,0.25,67300,79600,91300,24000,384,473,535,151,544,31.4,25.1,12.9,0,0,32.45,20.26,47.72,71.19,76.34,3.7,7341.8,4.92,0
"25",871.02,58012,2.81,5.11,74.68,2.09,75.62,13.67,29.54,14.16,9.09,58012,100,25655,78.71,0.44,24.77,20.77,13.18,9.8,27288,11089,11488,10870,15755,13355,9996,10513,18.18,28.42,49.46,10.71,10.87,60.52,29.24,13.43,32.79,14.66,11.58,37.55,17.32,14.53,3.29,59.81,56.12,66.57,61.43,53.42,60.06,3156,8.03,31959,14.61,24.34,33.53,47.62,8.05,13.41,18.47,26.24,17.73,30.91,8.4,6.05,2.8,2.84,2.79,22.08,16.96,78.25,2,1980,91.24,21.76,2.37,36.21,1940,11.73,1.74,108200,150400,189700,81500,339,451,579,240,505,27.5,28.5,13,189,25,55.09,25.9,54.33,79.63,81.87,1.3,44229.9,27.8,4.97
"26",950.75,36793,3.42,4.03,54.48,1.6,68.13,17.04,33.32,16.69,7.4,36793,100,25976,80.51,1.18,22.47,20.18,11.32,12.22,26925,9244,11433,6074,10066,10585,6411,7652,21.24,30.07,48.01,9.2,9.83,59.1,3.67,18.35,13.28,14.29,8.95,34.56,14.28,11.59,3.8,70.16,64.08,77.66,76.73,58.15,64.36,1726,5.82,11426,20.84,34.09,44.16,52.92,6.47,10.59,13.71,16.44,38.92,21.27,18.06,14,3.35,3.25,3.45,47.52,29.63,64.35,2,2281,82.49,49.04,6.53,13.9,1975,7.05,0.94,68000,83600,101900,33900,309,436,527,218,495,28.7,23.1,11.8,21,7,31.05,45.7,42.86,74.85,85.82,17.6,2084.8,1.14,0
"27",487.18,21877,3.32,0.17,79.44,0.48,79.69,17.95,29.1,14.43,14.2,21877,100,17645,65.06,2.02,24.94,35.6,17.97,13.55,19575,7597,8112,1421,8367,49293,5711,7628,35.49,38.98,48.47,12.46,17.59,43.95,11.11,33.91,14.55,24.04,5.3,29.52,10.34,8.04,3.79,74.52,67.32,83.15,80.93,54.71,60.66,403,1.8,4354,7.79,11.78,18.67,26.85,1.55,2.34,3.72,5.34,23.83,19.62,16.52,13.11,3.26,3.28,3.23,62.9,23.68,68.17,2,2260,74.47,62.59,18.5,17.04,1973,13.37,1.49,22600,35700,55700,33100,124,199,299,175,248,24.1,21,13.2,0,0,19.9,62.36,63.25,88.34,93.6,8.7,2515.8,0.4,0
"28",1523.3,70576,2.38,20.2,78.12,0.9,3.26,13.18,24.59,12.95,20.31,70576,100,24462,66.97,0.7,40.27,38.71,6.44,20.9,29229,13487,15297,6863,13116,9113,12874,9483,13.96,9.4,26.03,19.27,6.59,52.73,12.41,24.67,14.48,26.35,11.86,25.33,14.73,13.44,2.84,63.38,56.58,70.65,66.17,63.37,72.38,2736,4.84,3011,10.06,16.11,19.59,29.46,0.43,0.69,0.84,1.26,93.55,0.92,3.87,2.53,2.29,2.31,2.25,59.76,3.4,60.9,2,5277,84.89,59.04,1.74,32.23,1971,7.61,0.28,45200,61600,86500,41300,243,316,396,153,403,25.9,19.9,12.4,145,30,4.27,38.7,44.93,74.03,83.02,39.8,1774.5,1.24,9.64
"29",74.96,11982,2.75,0.06,97.1,1.89,0.47,13.1,26.42,11.07,12.1,11982,100,30743,76.38,0.91,55.55,30.54,5.85,16.98,35265,11954,12190,2701,7889,2750,5437,904,7.67,11.74,21.81,10.72,5.09,64.15,33.9,17.89,23.3,17.39,7.11,26.35,7.79,7.47,3.25,81.39,82.08,85.79,79.92,66.75,74.09,136,1.22,137,20.44,25.55,50.36,50.36,0.23,0.29,0.58,0.58,96.77,0.96,5.5,4.05,2.71,2.9,2.24,76.04,2.08,37.79,3,89,98,71,0,37.08,1954,1.6,0.25,43900,55000,68700,24800,224,290,342,118,357,22.7,17.4,13.2,0,0,1.14,91.91,63.66,90.85,97.52,4.9,2456.7,0.81,0
"30",243.44,25098,1.88,0.98,93.7,4.21,4.99,7.58,17.67,8.15,30.19,25098,100,32834,52.5,0.8,63.66,50.9,3.57,30.04,51381,25695,25729,20543,15092,29765,18320,1198,4.83,4.14,13.68,31.57,2.9,48.61,16.74,28.9,5.31,45.09,10.31,26.84,11.49,10.98,2.62,81.61,80.59,87.21,79.77,52.09,68.34,96,0.5,2459,11.31,15.66,20.62,22.65,1.11,1.53,2.02,2.22,89.87,1.09,1.56,0.73,1.86,1.83,1.95,74.71,1.29,72.82,2,1037,92.8,75.87,0.1,34.62,1965,0.53,0,268600,353600,435700,167100,598,790,1001,403,821,24.5,22.6,11.9,0,2,9.8,37.02,56.45,70.07,89.45,12.1,2067.4,1.08,0
"31",44.32,19810,2.52,0.19,99.04,0.65,0.61,10.97,18.84,8.28,14.82,19810,100,65372,76.84,1.91,75.39,26.54,2.03,15.77,80366,39610,39620,0,90000,31967,39358,419,2.12,0.82,2.95,67.41,1.85,60.02,5.74,38.96,1.59,58.23,3.58,19.58,7.88,5.91,2.99,89.5,89.84,94.56,84.39,46.67,56.64,0,0,630,16.83,18.1,22.86,22.86,0.54,0.58,0.73,0.73,95.58,0.35,2.32,1.73,2.52,2.7,1.63,89.08,0.05,20.6,3,259,96.81,83.15,0.77,35.14,1959,0.1,0.37,141600,190800,287800,146200,326,418,516,190,474,22.2,15.3,11.3,0,0,3.18,62.83,61.35,87.54,91.42,12,1646.4,0,0
"32",165.96,13496,2.49,0.55,98.71,0.36,0.52,13.68,25.94,12.14,13.42,0,0,22023,71.03,0.76,36.27,31.1,9.67,19.65,26726,11227,11262,7854,8548,6956,6677,2064,15.52,10.99,30.67,10.33,9.53,53.28,38.61,17.87,26.64,17.69,11.77,24.07,14.87,13.45,3.02,71.48,70.61,80.79,79.4,64.18,66.32,330,2.88,115,0,21.74,35.65,35.65,0,0.19,0.3,0.3,97.44,0.51,3.6,2.51,2.46,2.53,2.33,66.02,1.77,42.44,3,314,94.53,64.14,3.18,44.59,1952,12.97,0.35,28900,40500,57900,29000,159,208,260,101,309,25.5,15.9,12.3,0,0,0.85,81.5,58.19,88.85,95.23,6.4,2124.4,0,0
"33",1289.31,13553,2.53,14.59,84.78,0.41,0.42,13.55,22.92,10.73,16.77,0,0,22476,64.44,1.07,35.11,38.52,8.54,17.29,31201,12641,13282,9193,0,2847,1994,2131,16.4,14.03,35.13,16.93,5.48,49.28,11.92,26.4,17.06,26.1,10.41,22.04,13.05,11.88,2.99,74.47,67.5,74.7,80.81,57.81,62.92,318,2.83,95,27.37,27.37,31.58,35.79,0.19,0.19,0.22,0.25,97.96,0.43,3.42,2.41,2.43,2.51,2.25,70,2.13,44.52,3,455,92.18,67.61,1.1,46.15,1967,8,0.93,36700,56000,84200,47500,119,204,273,154,310,27.2,16.2,13.4,0,0,0.7,82.48,56.1,85.68,94.43,23.7,571.7,0.51,0
