murders,population,householdsize,racepctblack,racePctWhite,racePctAsian,racePctHisp,agePct12t21,agePct12t29,agePct16t24,agePct65up,numbUrban,pctUrban,medIncome,pctWWage,pctWFarmSelf,pctWInvInc,pctWSocSec,pctWPubAsst,pctWRetire,medFamInc,perCapInc,whitePerCap,blackPerCap,indianPerCap,AsianPerCap,HispPerCap,NumUnderPov,PctPopUnderPov,PctLess9thGrade,PctNotHSGrad,PctBSorMore,PctUnemployed,PctEmploy,PctEmplManu,PctEmplProfServ,PctOccupManu,PctOccupMgmtProf,MalePctDivorce,MalePctNevMarr,FemalePctDiv,TotalPctDiv,PersPerFam,PctFam2Par,PctKids2Par,PctYoungKids2Par,PctTeen2Par,PctWorkMomYoungKids,PctWorkMom,NumKidsBornNeverMar,PctKidsBornNeverMar,NumImmig,PctImmigRecent,PctImmigRec5,PctImmigRec8,PctImmigRec10,PctRecentImmig,PctRecImmig5,PctRecImmig8,PctRecImmig10,PctSpeakEnglOnly,PctNotSpeakEnglWell,PctLargHouseFam,PctLargHouseOccup,PersPerOccupHous,PersPerOwnOccHous,PersPerRentOccHous,PctPersOwnOccup,PctPersDenseHous,PctHousLess3BR,MedNumBR,HousVacant,PctHousOccup,PctHousOwnOcc,PctVacantBoarded,PctVacMore6Mos,MedYrHousBuilt,PctHousNoPhone,PctWOFullPlumb,OwnOccLowQuart,OwnOccMedVal,OwnOccHiQuart,OwnOccQrange,RentLowQ,RentMedian,RentHighQ,RentQrange,MedRent,MedRentPctHousInc,MedOwnCostPctInc,MedOwnCostPctIncNoMtg,NumInShelters,NumStreet,PctForeignBorn,PctBornSameState,PctSameHouse85,PctSameCity85,PctSameState85,LandArea,PopDens,PctUsePubTrans,LemasPctOfficDrugUn
no,16922,1.86,1.27,98.27,0.3,0.68,4.68,9.38,4.64,48.35,16922,100,27834,39.25,0.94,69.63,68.37,3.68,40.08,33024,19940,20227,2476,14111,17620,11562,944,5.79,6.2,19.28,23.32,3.96,27.58,8.34,27.49,8.22,26.11,7.78,13.07,9.61,8.84,2.29,63.39,60.8,84.08,71.14,57.14,71.89,107,0.61,1140,2.72,3.16,4.04,4.82,0.18,0.21,0.27,0.33,93.51,0.91,1.05,0.63,1.8,1.81,1.76,74.92,0.81,81.68,2,3369,72.94,74.38,0.06,32.62,1974,3.02,0,68800,91300,130700,61900,369,468,605,236,535,29.4,22.6,11.2,0,3,6.74,6.75,49.33,69.68,74.8,7.7,2201.1,0.15,0
no,16189,2.41,23.06,70.73,2.51,13.65,9.1,28.07,12.04,12.82,16189,100,42748,82.46,0.66,51.96,25.8,4.42,12.49,49718,22036,25204,13370,18017,28552,10887,1116,7.27,8.68,21.61,32.43,5.03,67.6,14.89,26.99,8.67,33.98,11.17,43.72,14.65,13.02,3.01,63.87,58.69,80.47,69.8,63.48,71.72,648,6.08,3166,26.85,46.3,51.74,60.99,5.25,9.06,10.12,11.93,77.58,6.4,7.62,4.25,2.28,2.61,2.08,43.15,5.27,62.26,2,349,95.06,37.6,2.87,30.95,1951,2.1,0,168900,205800,248800,79900,444,595,754,310,640,24,22.5,14.3,62,1,19.56,49.73,46.68,71.81,82.64,3,5316.9,5.88,0
no,11949,2.45,0.47,99.01,0.34,0.5,12.7,23.62,10.89,15.82,0,0,20411,68.1,0.33,43.78,37.7,11.84,22.39,25737,10658,10609,6132,2919,62598,4052,2154,18.26,7.63,23.1,14.09,7.84,49.79,22.21,26.99,18.57,24.98,10.58,27.3,12.86,11.83,3.02,69.31,67.94,75.81,75.2,51.56,60.15,212,1.9,118,6.78,6.78,11.86,32.2,0.07,0.07,0.12,0.32,96.5,0.22,3.61,2.42,2.42,2.58,2.17,65.69,0.53,36.06,3,574,89.47,61.64,1.57,67.77,1939,5.78,0.37,20200,30200,44200,24000,160,202,263,103,306,26.5,16.8,12.9,0,0,0.99,88.48,60.55,88.42,94.32,4.7,2553.6,0.54,0
yes,174820,2.8,9.44,72.66,3.57,20.51,14.31,28.34,13.09,8.18,174138,99.61,32154,79.72,0.91,32.68,20,12.01,12.66,36998,14183,16203,7977,11929,14488,8548,25782,15,8.09,22.23,19.65,7.1,62.05,6.38,24.87,11.56,27.63,11.7,28.75,16.19,14.05,3.26,68.83,65.04,72.06,72.63,51.73,62.77,6512,5.23,13900,13.19,25.21,36.25,48.25,1.05,2,2.88,3.84,82.5,3.44,7.16,5.15,2.75,2.86,2.62,57.28,7.59,48.07,3,3708,94.4,55.12,4.1,20.69,1974,3.9,0.37,72800,91200,117600,44800,319,389,493,174,468,28.4,23,12.4,349,31,7.95,59.87,39.38,78.54,89.73,95.1,1837.3,1.24,10.59
yes,447619,2.66,22.01,63.79,1.99,19.51,13.84,30.16,14.44,10.07,447157,99.9,26547,80.04,0.83,34.15,23.25,6.18,13.58,30967,13162,16405,7583,10603,11064,6956,75597,17.42,12.39,28.38,21.47,7.43,61.85,21.48,21.2,16.43,25.67,13.32,31.15,16.63,15.02,3.22,68.71,62.53,79.11,70.5,60.06,67.32,15913,4.94,40300,14.26,22.64,34.3,52.22,1.28,2.04,3.09,4.7,80.59,4.82,7.84,5.2,2.58,2.7,2.43,57.17,7.88,58.08,2,26155,86.55,54.53,13.05,44.66,1964,9.28,0.58,39400,59900,86900,47500,268,337,415,147,403,24.6,21.4,13.1,884,347,9,64.49,45.85,80.21,89.38,291.2,1537.2,1.65,0
yes,38386,2.61,72.13,26.56,0.75,1.23,12.75,27.11,13.68,13.6,38386,100,21309,73.47,0.55,21.44,32.36,12.38,23.39,27243,10547,15150,8859,7020,12730,8181,7359,20.3,17.42,37.76,13.54,8.45,54.17,15.6,29.62,20.76,17.58,14.18,40.16,16.86,15.65,3.09,45.86,37.26,51.46,57.54,64.08,73.6,4101,12.99,707,12.31,20.93,20.93,25.88,0.23,0.39,0.39,0.48,95.73,0.59,6.5,4.2,2.46,2.54,2.39,52.43,4.3,52.56,2,1466,90.95,50.86,10.91,46.45,1962,14.22,0.63,37100,52000,69700,32600,164,257,346,182,360,27.7,21.4,12.7,10,10,1.84,74.23,53.24,78.54,91.07,23.7,1619.7,3.58,0
no,11530,3.32,15.21,81.25,2.91,1.31,40.83,58.9,49.38,10.29,11530,100,25393,75.83,0.77,54.93,26.43,5.79,19.3,36693,11822,12732,8605,6487,4858,13220,1406,19.37,6.97,16.26,42.9,4.87,46.89,4.12,47.37,5.65,38.76,5.38,65.8,7.16,6.34,2.7,60.91,55.86,84.29,55.8,57.55,72.61,314,6.54,558,32.26,37.99,43.73,47.67,1.56,1.84,2.12,2.31,92.88,0.42,3,1.5,2.11,2.19,2.06,37.83,1.47,61.49,2,492,87.58,36.39,0.61,48.78,1970,4.56,0.45,85500,121000,198500,113000,353,428,519,166,492,28.3,20.3,12.1,0,0,4.84,36.7,23.89,30.95,70.68,8.9,1292.6,1.05,0
yes,126481,2.45,1.04,93.15,1.93,9.1,12.26,26.6,12.44,9.4,126481,100,34054,84.84,1.01,50.72,18.37,3.42,14.81,40231,16726,17061,12238,15745,11833,11390,9348,7.6,3.03,11.82,29.63,4.78,70.2,11.25,23.23,9.13,32.22,12.52,29.1,17.24,14.97,2.92,71.09,69.33,78.97,74.14,71.41,77.61,1519,1.73,5143,10.25,15.77,26.07,32.43,0.42,0.64,1.06,1.32,92.84,0.89,3.22,2.14,2.38,2.54,2.13,64.6,1.97,47.08,3,4021,92.78,60.5,0.7,22.33,1970,2.4,0.1,77200,91400,111800,34600,336,407,495,159,465,24.5,21.3,11.9,69,0,4.07,44.46,49.04,71.05,87.33,42.3,2992.1,3.66,3.14
yes,15745,2.46,88.99,9.51,0.91,0.53,14.7,26.17,12.34,9.09,15745,100,27893,83.01,0.39,20.45,21.25,9.09,17.06,31856,13301,15070,13103,19591,14922,14696,1615,10.28,5.79,23.01,12.44,9.34,64.76,21.67,28.25,19.95,22.06,13.75,31.83,21.91,18.43,3.02,50.16,45.91,49.33,48.05,71.36,82.65,888,8.28,381,21.78,31.5,35.43,45.41,0.53,0.76,0.86,1.1,94.97,0.46,3.86,2.66,2.46,2.77,2.17,54.46,2.66,48.4,3,382,94.37,48.35,5.76,17.54,1961,1.61,0.22,50900,62300,72800,21900,355,405,460,105,452,23.2,23,13.5,0,1,2.42,65.79,60.87,94.76,97.23,4.1,3797.3,9.94,0
no,12623,3.19,1.8,95.41,1.39,2.5,14.79,25.61,12.91,5.56,12623,100,60026,91.79,0.42,56.11,15.62,3.33,13.58,62410,22273,22577,14838,8025,23092,18707,218,1.74,1.94,10.49,31.87,5.57,73.27,18.38,24.65,8.31,36.85,4.85,29.61,7.26,6.06,3.42,90.2,86.15,96.5,88.14,42.04,62.19,56,0.69,1074,3.82,7.45,12.29,16.01,0.32,0.63,1.05,1.36,89.48,0.51,6.05,5.23,3.18,3.2,2.83,93.41,1.09,15.02,3,185,95.53,92.59,1.08,58.92,1963,0,0,160100,189100,231700,71600,639,844,1001,362,980,27.5,25.9,15.9,0,0,8.51,57.87,72.24,80.7,91.35,25.9,487.8,3.29,0
no,12358,2.6,1.5,96.16,1.73,1.32,11.1,26.02,11.95,13.3,12358,100,43593,82.41,0.66,55.37,29.9,3.95,19.82,48350,17593,17736,14705,0,13404,14291,370,3.04,7.74,22.67,16.3,4.62,70.09,25.1,15.89,12.9,24.27,8.17,30.51,11,9.62,3,80.9,78.78,90.43,85.31,76.29,83.36,87,0.91,821,13.64,23.51,28.87,39.22,0.91,1.56,1.92,2.61,90.45,0.96,3.34,2.46,2.57,2.68,2.19,79.64,1.28,36.38,3,171,96.53,76.17,0.58,26.9,1958,0.63,0,128100,145100,168500,40400,426,559,679,253,666,24.2,20.1,12.1,0,6,6.64,63.59,60.32,89.71,92.18,9.4,1320.8,2.14,0
yes,111348,2.65,2.36,84.03,8.68,11.46,12.92,27.42,12.7,8.56,111348,100,41675,83.99,0.63,45.23,18.34,6.67,15.16,46847,17566,18356,14825,14266,14431,12310,7349,6.69,3.65,11.93,26.14,4.58,70.43,10,20.12,9.45,29.52,10.82,31.29,16.14,13.55,3.1,74.16,72.72,84.48,73.1,61,71.37,1200,1.61,15735,19.38,30.95,43.7,51.84,2.74,4.37,6.18,7.33,81.55,3.08,5.13,3.63,2.63,2.68,2.55,62.06,5.23,42.88,3,1775,95.94,60.94,0.68,12.51,1967,1.32,0.09,157900,195300,249900,92000,529,618,758,229,677,29.1,24.4,11.5,47,6,14.13,50.29,44.79,72.77,86.89,30.5,3646.5,10.08,5.52
yes,25792,2.74,6.18,84.05,8.85,3.69,10.69,25.06,10.15,6.07,22081,85.61,54305,90.79,1.35,56.12,14.24,1.48,10.35,59264,21881,22559,20205,23996,17351,16986,757,2.94,4.08,10.22,40.03,3.5,76.13,17.6,24.28,6.93,40.41,6.74,26.99,9.69,8.25,3.18,87.36,86.51,94.38,83.18,55.34,66.87,189,1.27,2966,11.73,20.33,27.48,37.09,1.35,2.34,3.16,4.26,82.81,1.68,3.85,2.89,2.74,2.9,2.25,79.17,1.57,36.7,3,554,94.44,74.64,1.44,34.3,1979,0.36,0.17,151900,182600,237100,85200,602,727,887,285,849,24.3,24.2,14,0,0,11.5,49.64,48.98,70.86,82.33,42.4,607.7,6.38,0
no,18374,2.74,1.04,97.01,0.99,1.58,12.86,29.5,11.47,4.89,18374,100,41049,90.82,0.69,50.25,12.72,3.26,9.04,44844,16207,16475,7918,2711,10524,6309,1059,5.8,2.55,10.47,20.33,2.93,79.57,25.13,19.63,12.21,24.82,7.99,26.83,12.92,10.56,3.17,77.65,78.86,86.67,87.05,78.1,81.27,208,1.81,307,19.22,28.99,33.88,35.83,0.32,0.48,0.57,0.6,97.1,0.51,3.45,2.63,2.74,2.86,2.22,83.92,1.49,41.51,3,237,96.58,80.21,1.27,29.11,1977,0.34,0.07,71600,88400,108400,36800,352,399,499,147,442,23.8,22.1,12.3,0,0,1.67,77.94,45.08,58.37,91.73,10.3,1791.2,1.92,0
no,17460,2.79,7.07,71.04,17.65,9.82,12.37,23.2,10.85,9.45,17460,100,45820,83.62,0.54,50.06,22.53,4.48,19.05,49619,18000,19255,14622,18527,15601,13782,643,3.69,3.79,14.57,20.42,4.48,68.21,13.15,22.46,10.23,26.51,9.2,25.45,12.96,11.16,3.15,78.48,73.62,86.75,83.62,73.88,77.84,143,1.12,2526,4.16,9.18,18.21,28.9,0.6,1.33,2.63,4.18,78.45,2.67,4.79,3.77,2.79,2.8,2.76,77.43,5.29,30.65,3,237,96.35,77.22,2.53,27,1968,1.34,0.15,160400,193400,238400,78000,568,655,807,239,744,28,23.1,11.1,0,0,14.47,56.65,52.56,78.22,94.1,5.3,3274.6,5.53,0
no,21947,2.42,10.02,88.64,0.95,1,13.15,28.4,14.54,13.71,0,0,26086,77.24,0.89,37.75,27.67,5.73,14.43,31974,14214,14913,8413,14852,13251,7068,2364,11.3,14.9,31.17,18.78,4.77,64.7,20.42,21.05,18.38,25.43,13.13,30.86,15.23,14.24,2.94,70.69,67,72.84,74.45,72.68,79.17,594,3.9,556,12.77,30.94,41.73,47.12,0.32,0.78,1.06,1.19,96.34,0.33,3.29,2.07,2.31,2.43,2.21,47.83,2.48,48.05,3,724,92.62,45.38,2.35,22.79,1959,9.74,1,66300,89100,128200,61900,276,349,432,156,425,24.2,19.1,12.7,0,1,2.53,57.07,45.92,63.41,81.71,9.7,2270.1,0.65,0
no,24414,2.72,0.58,97.78,1.13,1.42,20.54,33.98,21.61,10.63,0,0,31602,78.05,0.84,52.07,24.69,4.69,14.03,41824,14987,14874,8483,21267,29866,9939,1845,8.63,4.83,14.82,27.88,3.75,60.99,16.32,36.42,9.17,34.24,8,36.67,11.42,9.84,3.01,76.66,77.18,85.05,77.89,61.56,71.67,219,1.35,724,16.99,19.89,25.83,32.32,0.5,0.59,0.77,0.96,95.91,0.23,2.92,1.96,2.38,2.72,1.95,63.72,1.29,49.98,3,315,96.61,55.76,3.49,34.6,1963,2.06,0.09,55100,71700,96500,41400,277,358,424,147,431,25.7,17.5,12.1,1,0,2.97,58.25,43.68,70.37,81.02,10.5,2321.6,1.34,0
yes,16202,2.55,12.26,85.3,1.4,2.43,11.73,30.19,13.04,6.73,0,0,39887,89.09,0.77,41.65,13.6,3.66,9.94,44626,17574,18854,9975,25758,10078,11828,975,6.14,7.61,17.31,28.55,2.11,77.4,9.62,20.68,7.12,33.31,10.75,28.14,14.64,12.8,3.04,76.58,74.16,88.38,80.02,68.27,72.67,319,2.95,856,21.96,31.78,38.08,50.12,1.16,1.68,2.01,2.65,92.89,1.71,3.67,2.51,2.5,2.61,2.37,57.57,1.51,43.91,3,652,90.68,55.12,0.31,31.44,1981,2.63,0.13,129200,161100,202500,73300,511,622,695,184,696,26.5,26.9,14.4,6,0,5.28,45.28,30.42,58.8,73.12,12,1355.1,0.68,5.03
yes,164164,3.01,16.01,60.64,4,34.57,14.78,30.37,14.56,9,164164,100,25533,73.63,0.33,27.88,23.34,17.98,15.9,28843,10865,13068,7947,8925,7815,7167,36174,22.79,12.54,31.91,12.71,10.69,54.27,12.3,24.82,15.67,20.9,13.11,34.9,17.73,15.47,3.43,61.49,55.92,65.33,64.98,46.31,55.83,9790,7.94,25392,21.04,33.97,46.12,57.21,3.25,5.25,7.13,8.85,70.98,8.34,11.74,8.42,2.9,2.84,2.97,51.21,14.54,60.73,2,4322,92.65,52.25,10.55,26.26,1963,7.95,0.44,75500,96200,127100,51600,334,422,517,183,485,32.1,22.9,11.5,828,133,15.47,51.89,40.1,72.08,88.19,57.1,2876.8,1.72,3.86
no,18262,2.55,0.43,96.08,2.64,4.68,11.38,24.45,11.7,17.73,18262,100,41000,76.2,0.36,51.07,37.57,4.36,20.67,47229,17752,17927,18659,27000,12445,18015,706,3.87,12.36,29.89,14.99,4.55,61.28,18.6,16.56,14.04,25.65,6.29,30.63,8.41,7.42,3.08,81.08,78.41,91.22,80.11,48.12,64.16,114,0.93,2073,9.02,14.18,18.62,21.71,1.02,1.61,2.11,2.46,82.74,2.4,4.2,3,2.55,2.76,2.18,68.92,1.97,49.71,3,578,92.53,63.6,0.35,44.46,1947,0.22,0.45,154400,179400,202200,47800,435,559,671,236,622,22.8,21.5,13.7,0,0,11.35,72.26,75.41,86.12,94.68,4.8,3792.6,8.37,0
no,13083,2.95,1.47,97.91,0.26,0.68,12.77,23.78,10.61,6.89,0,0,48481,87.96,1.02,51.1,17.82,2.82,14.23,52105,18058,18308,3555,5931,16707,20874,413,3.23,3.62,15.53,21.92,3.55,69.89,27.64,23.59,11.15,28.31,8.69,24.75,7.75,8.24,3.18,89.01,86.25,96.31,86.67,65.09,70.67,54,0.58,342,8.19,13.74,15.5,18.71,0.21,0.36,0.41,0.49,97.15,0.12,3.99,3.31,2.89,2.92,2.62,90.49,1.42,30.04,3,655,87.13,89.52,0.31,45.95,1971,1.15,0.39,75700,100200,142500,66800,364,467,575,211,534,23.8,20,14.3,0,0,2.61,75.83,51.61,67,93.56,33.6,389.8,0.23,0
no,10742,2.8,18.26,73.47,2.73,11.34,12.7,27.85,12.91,11.8,10742,100,40327,81.52,0.96,42.28,29.25,5.53,16.74,45092,15452,16997,10918,3755,20640,8721,869,8.11,10.61,26.45,21.7,6.58,65.42,12.23,25.73,15.17,28.36,8.77,34.99,12.77,10.84,3.29,71.64,64.87,92.06,70.17,66.98,66.4,672,8.37,787,24.9,32.53,49.81,60.99,1.82,2.38,3.65,4.47,84.39,3.9,8.47,6.19,2.78,2.85,2.68,60.74,5.91,45.58,3,215,94.7,59.27,3.26,39.07,1956,4.4,0.59,110600,137600,166700,56100,420,589,712,292,663,29.4,24.7,14.7,0,0,7.33,61.96,57.45,79.74,86.13,2.1,5191.4,5.05,0
no,57546,2.68,0.58,98.4,0.64,0.64,15.22,26.93,14.36,13.79,57546,100,27027,74.53,1.14,52.26,31.05,6.47,18.8,32881,12377,12488,4593,7034,4741,5222,5958,10.9,9.4,21.58,19.42,5.01,61.98,21.58,29.68,15.86,24.8,6.79,31.41,8.34,7.63,3.11,79.61,79.66,85.11,83.59,71.52,76.35,814,1.62,839,28.72,32.66,39.09,42.19,0.42,0.48,0.57,0.62,96.5,0.69,4.58,3.22,2.52,2.77,2.02,72.8,1.28,43.34,3,940,95.8,66.11,3.94,42.23,1952,2.37,0.18,38800,51600,67400,28600,195,255,330,135,315,24.2,16.1,12.1,79,84,1.46,77.04,56.88,84.39,89.32,23.9,2409,1.1,0
