nonViolPerPop,population,householdsize,racepctblack,racePctWhite,racePctAsian,racePctHisp,agePct12t21,agePct12t29,agePct16t24,agePct65up,numbUrban,pctUrban,medIncome,pctWWage,pctWFarmSelf,pctWInvInc,pctWSocSec,pctWPubAsst,pctWRetire,medFamInc,perCapInc,whitePerCap,blackPerCap,indianPerCap,AsianPerCap,HispPerCap,NumUnderPov,PctPopUnderPov,PctLess9thGrade,PctNotHSGrad,PctBSorMore,PctUnemployed,PctEmploy,PctEmplManu,PctEmplProfServ,PctOccupManu,PctOccupMgmtProf,MalePctDivorce,MalePctNevMarr,FemalePctDiv,TotalPctDiv,PersPerFam,PctFam2Par,PctKids2Par,PctYoungKids2Par,PctTeen2Par,PctWorkMomYoungKids,PctWorkMom,NumKidsBornNeverMar,PctKidsBornNeverMar,NumImmig,PctImmigRecent,PctImmigRec5,PctImmigRec8,PctImmigRec10,PctRecentImmig,PctRecImmig5,PctRecImmig8,PctRecImmig10,PctSpeakEnglOnly,PctNotSpeakEnglWell,PctLargHouseFam,PctLargHouseOccup,PersPerOccupHous,PersPerOwnOccHous,PersPerRentOccHous,PctPersOwnOccup,PctPersDenseHous,PctHousLess3BR,MedNumBR,HousVacant,PctHousOccup,PctHousOwnOcc,PctVacantBoarded,PctVacMore6Mos,MedYrHousBuilt,PctHousNoPhone,PctWOFullPlumb,OwnOccLowQuart,OwnOccMedVal,OwnOccHiQuart,OwnOccQrange,RentLowQ,RentMedian,RentHighQ,RentQrange,MedRent,MedRentPctHousInc,MedOwnCostPctInc,MedOwnCostPctIncNoMtg,NumInShelters,NumStreet,PctForeignBorn,PctBornSameState,PctSameHouse85,PctSameCity85,PctSameState85,LandArea,PopDens,PctUsePubTrans,LemasPctOfficDrugUn
5742.97,18400,2.75,0.32,85.47,1.22,20.57,16,28.52,14.58,12.82,0,0,20831,74.08,1.62,35.41,30.24,7.49,13.43,25127,9511,9910,16700,16265,8608,5848,2833,16.03,15.22,32.97,12.63,6.41,61.46,22.49,19.63,21.25,19.11,10.6,26.51,14.95,12.88,3.2,72.16,71,77.31,76.43,70.92,76.7,257,1.65,1024,25.78,35.35,40.62,44.14,1.43,1.97,2.26,2.46,83.02,3.65,7.65,5.43,2.65,2.71,2.54,63.29,7.07,51.58,2,428,94,61.78,1.87,44.16,1965,8.41,0.25,36900,47500,62900,26000,172,230,290,118,309,25,20,11.9,5,0,5.57,46.85,44.99,77.27,84.05,9.2,1996.5,0.45,0
8707.08,11727,2,3.33,95.17,0.52,2.24,7.23,16.79,7.78,31.15,11727,100,21397,54.78,0.8,51.16,50.86,4.5,26.89,27824,13842,14181,6628,12743,8807,11181,1152,10,8.91,27.71,15.37,5.79,45.05,11.43,22.77,14.59,21.18,13.4,22.88,14.62,14.08,2.56,63.41,59.6,74.95,72.23,77.18,81.36,82,0.81,1121,4.46,7.85,12.76,16.06,0.43,0.75,1.22,1.53,88.26,1.88,1.65,0.95,1.96,1.96,1.96,71.28,1.65,77.25,2,1204,82.99,71.28,0.58,27.41,1960,3.85,0.1,40800,50200,64900,24100,281,345,407,126,427,30,22.7,12.2,0,0,9.56,17.99,52.35,76.22,80.9,2.9,3988.8,1.51,0
4293.34,11353,2.52,6.99,91.52,0.56,0.97,13.92,25.6,13.6,14.52,0,0,26684,73.1,0.62,37.72,30.76,8.87,19.18,34317,12412,12641,8765,13890,17426,15943,1278,11.61,7.84,26.21,12.16,7.28,58.84,38.66,17.51,27.57,19.75,10.87,25.82,13.66,12.37,3.02,72.06,69.54,80.47,78.56,59.25,73.35,176,1.88,98,44.9,44.9,44.9,51.02,0.39,0.39,0.39,0.44,97.62,0.39,3.86,2.61,2.44,2.55,2.24,64.87,1.62,48.69,3,264,94.47,61.84,0.38,42.42,1953,7.4,0.94,39100,53500,71500,32400,196,258,316,120,342,21.5,14.7,12.4,6,0,0.86,81.7,52.71,80.07,91.47,6.4,1775,1.03,0
2683.9,10862,2.41,0.49,98.82,0.57,0.23,12.73,22.32,10.38,15.56,10862,100,31613,72.11,0.16,47.6,35.07,3.63,20.36,37546,15599,15348,14505,729,42397,36225,578,5.32,6.7,18.05,20.94,4.53,58.06,23.28,24.59,14.23,31.97,7.24,20.27,9.32,8.36,2.91,82.72,81.98,92.35,88.87,70.58,69.23,33,0.38,95,0,0,0,0,0,0,0,0,97.69,0.2,2.28,1.64,2.41,2.52,2.03,80.1,0.62,35.27,3,311,93.55,76.38,0.32,40.19,1960,2.48,0.39,40500,55300,76200,35700,202,259,323,121,344,23.1,15.6,11.9,0,0,0.87,74.34,66.16,87.85,92.45,3.9,2816.9,0.72,0
8043.15,12183,2.41,38.95,60.35,0.33,0.61,13.16,24.77,11.85,18.12,0,0,21581,70,0.24,29.62,36.66,8.63,22.21,28031,11668,14121,7938,17400,11429,0,2212,18.5,18.32,38.79,15.26,6.23,53.76,37.99,21.94,27.64,23.38,12.26,29.06,15.39,14.04,2.96,56.34,49.98,50.58,55.87,68.14,75.4,747,6.82,83,0,0,60.24,60.24,0,0,0.41,0.41,97.88,0.34,3.88,2.65,2.37,2.41,2.31,59.19,3.24,53.01,2,315,94.13,58.15,0.95,58.41,1955,9.04,0.82,34300,49100,73600,39300,135,198,270,135,314,23.2,18.4,13.2,0,0,0.68,81.67,55.82,88.05,93.82,8.2,1487.2,0,0
10458.26,516259,2.18,10.06,75.32,11.78,3.55,10.82,27.39,13.6,13.39,516259,100,29353,76.37,0.65,51.46,25.01,6.35,15.79,39860,18308,20645,10503,10323,11881,14516,61681,12.38,5.17,13.57,37.9,4.88,65.02,13.25,29.83,9.61,36.27,12.76,42.39,15.79,14.32,2.84,66.72,63.04,78.96,65.19,64.46,70.53,11531,3.81,67736,19.21,27.54,37.71,47.32,2.52,3.61,4.95,6.21,84.58,3.09,4.28,2.2,2.09,2.35,1.84,54.95,4.02,63.25,2,12330,95.05,48.88,3.33,22.04,1949,2.63,0.64,94100,137900,197300,103200,327,425,549,222,463,26.9,21.1,11.7,2170,369,13.12,42.63,43.85,75.68,82.27,86.9,5940,16.52,3.49
1960.93,13597,2.47,1.76,95.02,2.76,2.02,9.71,20.6,9.8,17.98,13597,100,55248,76.59,0.37,64.04,35.78,1.92,19.75,65437,27183,27254,19172,0,30577,14689,235,1.73,2.81,10.5,42.01,2.54,64.2,14.35,30.6,6.77,46.09,5.31,26.48,7.65,6.58,3.01,88.9,87.77,99.47,90.49,47.66,61.62,94,0.98,939,11.5,18.96,22.36,30.46,0.79,1.31,1.54,2.1,89.82,0.61,3.39,2.42,2.47,2.7,1.73,83.23,0.65,38.77,3,208,96.36,76.04,0.48,20.19,1952,0.29,0.09,181000,213500,252700,71700,416,627,829,413,663,24.4,21.8,15,0,0,6.91,67.89,70.4,87.35,93.06,2.9,4770.2,6.56,0
2940.5,17392,2.45,2.4,95.94,0.93,2.13,11.73,25.53,11.76,12.44,16944,97.42,38432,82.86,0.55,53.89,25.64,2.38,18.03,44990,17207,17391,10025,8769,23228,19615,680,3.96,8.24,23.93,16.74,4.76,69.52,24.66,20.29,13.97,23.4,9.67,29.17,11.17,10.45,3.01,79.86,77.91,91.03,73.15,72,80.45,135,1.08,1546,2.39,3.1,5.82,11.45,0.21,0.28,0.52,1.02,85.71,1.47,2.76,1.85,2.43,2.64,1.95,75.31,0.96,48.91,3,363,95.13,69.23,0.28,22.59,1963,1.03,0.27,127000,150500,176100,49100,373,466,587,214,534,24.4,22.6,14.5,10,0,8.89,68.05,64.16,91.31,94.47,10.1,1723.4,0.26,0
4270.19,28040,2.37,12.36,79.09,5.95,9.66,8.19,21.09,8.71,15.66,28001,100,50468,76.89,1.16,63.53,28.2,4.7,15.74,64560,30130,34463,9519,20710,21376,9446,1745,6.47,4.96,10.33,54.84,3.23,62.37,17.37,36.22,4.44,49.91,10.66,33.5,14.79,12.85,2.93,72.75,68.7,89.41,75.17,63.48,67.51,884,4.96,4492,15.27,21.37,30.32,41.54,2.45,3.42,4.86,6.65,83.25,2.5,5.44,3.15,2.28,2.52,2,59.53,4.73,54.26,2,431,96.48,53.88,0.93,21.81,1956,0.89,0.33,319000,463600,500001,181001,621,803,1001,380,853,27.6,25.8,11.1,101,18,16.04,39.95,51.37,69.63,87.75,10.4,2689.9,3.66,0
3112.31,16113,2.9,0.16,97.46,0.61,3.38,15.25,27.63,12.77,7.17,0,0,33628,85.93,1.63,34.75,18.53,3.94,11.26,36092,12339,12335,10186,21530,21186,7938,1047,6.62,5.75,23.97,11.33,6.25,65.69,24.55,20.02,15.42,22.17,8.49,21.96,13.01,10.84,3.2,81.18,77.51,92.02,79.74,66.42,72.98,68,0.58,146,0,0,0,0,0,0,0,0,95.89,0.24,3.71,3.08,2.87,2.9,2.77,73.23,2.74,21.15,3,298,94.91,72.34,4.36,37.58,1975,3.71,0.12,50000,59400,73500,23500,308,387,463,155,513,25.5,20.8,12.9,0,0,0.91,71.06,51.7,73.28,93.27,17.4,926,0,0
7933.86,22676,2.35,5.17,93.97,0.34,0.41,13.59,23.61,11.62,18.44,0,0,15732,55.61,0.24,32.28,41.47,19.47,19.27,21022,10385,10437,8680,4711,32245,9895,6201,27.97,16.95,35.7,11.45,11.52,40.84,12.44,29.91,13.93,25.02,12.28,24.91,16.2,14.53,2.97,61.73,59.16,63.11,68.16,37.77,49.37,648,2.98,172,2.91,12.79,12.79,25,0.02,0.1,0.1,0.19,97.68,0.4,3.94,2.52,2.29,2.31,2.26,57.23,1.43,50.67,2,1091,89.86,56.67,3.94,55,1939,13.53,0.52,22000,32800,48400,26400,131,203,268,137,263,29.8,16.9,13.2,0,0,0.76,76.66,52.17,86.83,92.69,11.2,2032.3,0,0
2014.94,20816,2.6,1.44,89.99,8.04,1.44,12.16,19.04,9.14,13.11,20816,100,61572,79.89,0.94,73.54,26.71,1.27,20.06,71136,31438,32491,28390,31919,21042,13867,476,2.3,0.77,3.24,60.32,3.24,61.62,12.74,31.68,2.86,54.52,6.11,22.22,11,8.68,2.97,83.51,84.22,95.11,81.51,41.6,56.84,47,0.31,2166,16.25,24.05,29.96,32.78,1.69,2.5,3.12,3.41,89.85,0.98,2.82,2.17,2.59,2.74,2.05,83.1,0.9,22.64,3,314,96.23,78.66,0.32,27.71,1964,0.2,0.59,237800,335900,485700,247900,471,571,751,280,607,26.2,20.2,11.2,0,0,10.41,39.48,55.15,78.95,82.66,6.6,3148.2,6.42,0
6784.1,1630553,2.64,28.09,52.69,4.12,27.63,14.4,30.53,14.73,7.54,1630672,100,26261,82.75,0.84,32.14,17.9,7.06,9.26,30248,14261,19817,8366,12239,12250,7021,332974,20.74,14.21,29.52,25.09,8.18,63.67,11.72,22.81,13.13,27.81,12.72,36.66,17.35,15.07,3.33,64.89,59.42,75.35,66.39,57.29,64.15,77924,6.91,290374,17.21,27.02,38.75,58.02,3.07,4.81,6.9,10.33,69.33,8.38,9.93,6.3,2.6,2.78,2.47,47.55,11.72,62.65,2,109558,84.92,44.59,12.67,41.88,1969,8.45,0.82,38100,58000,91900,53800,255,328,421,166,390,23.6,19.9,13.4,1780,151,17.81,56.97,45.36,82.72,89.76,559.3,2915.3,6.54,3.36
9349.97,265968,2.52,63.27,35.96,0.56,0.39,13.93,27.56,13.43,13.17,264394,99.45,19193,71.75,0.51,23.14,31.59,10.79,15.72,23892,10127,15353,7188,9539,9602,13763,64572,24.82,10.65,30.7,16.15,9.24,53.83,12.44,28.97,15.72,22.8,13.53,35.68,17.45,15.71,3.16,52.09,44.48,64.74,54.45,67.58,71.55,19512,9.04,3181,28.23,39.8,49.23,55.8,0.34,0.48,0.59,0.67,96.43,0.38,6.35,4.08,2.46,2.59,2.31,56.3,3.97,54.83,2,12254,89.59,53.39,7.24,43.07,1959,6.13,0.59,32800,44500,63600,30800,136,225,307,171,322,26.1,20.4,13.5,549,230,1.2,84.68,57.21,89.24,93.57,153.8,1728.9,3.56,3.68
879.92,35976,1.94,3.27,95.79,0.48,1.97,6.43,10.55,4.93,52.77,31562,87.73,22649,31.68,0.24,65.94,76.39,2.91,45.31,30002,14906,14949,13873,38800,10858,12004,1629,4.63,13.43,34.37,9.9,6.7,24.82,13.26,24.34,14.05,21.46,4.32,13.3,4.83,4.62,2.51,84.51,81.63,92.59,88.89,48.51,65.22,163,0.51,3677,2.2,3.1,5.17,5.17,0.23,0.32,0.53,0.53,88.84,0.76,2.49,1.44,1.9,1.89,2.21,94.45,0.58,82.54,2,2278,89.04,95.24,0.61,58.47,1976,0.59,0.08,67300,92500,126000,58700,269,587,944,675,783,35.1,27.3,16.2,0,0,10.22,50.18,63.63,74.31,89.78,85.6,420.4,1.29,0
1765.89,31306,2.83,0.83,91.59,6.48,4.11,13.81,21.1,9.95,7.67,31306,100,74472,87.36,0.5,68.3,16.55,1.7,14.74,78863,31265,31909,27799,19538,24156,26835,652,2.1,1.15,4.27,48.33,2.41,70.87,12.53,23.08,3.63,45.29,6.75,23.16,10.04,8.44,3.09,87.01,86.84,96.8,83.7,54.73,65.02,111,0.52,2851,4.14,8.21,19.43,25.99,0.38,0.75,1.77,2.37,88.86,0.59,3.3,2.81,2.82,2.85,2.56,88.9,0.78,12.71,4,402,96.49,87.79,0.5,20.15,1975,0.07,0.13,283800,359200,450000,166200,752,999,1001,249,1001,27.8,26.3,11.3,0,0,9.11,49.55,50.03,70.31,89.16,18.3,1708.1,4.05,0
4315.36,38149,2.47,4.61,86.47,5.12,7.86,11.98,31.87,13.22,3.69,38149,100,34950,93.61,0.41,34.61,8.41,1.18,7.93,41337,16635,17287,14518,16749,9235,13133,2049,5.4,3.9,13.79,25.76,4.14,79.03,14.9,14.56,11.67,26.29,12.57,28.58,18.07,15.38,3.07,75.66,73.53,87.84,66.99,66.49,73.17,428,1.87,2955,14.01,26.06,39.26,52.72,1.09,2.02,3.04,4.08,87.1,2.24,3.75,2.45,2.46,2.78,2.2,51.24,4.43,54.01,2,1661,90.3,45.34,0.42,13.73,1978,6.24,0.11,60600,76300,96900,36300,335,402,500,165,455,22,21.1,11.5,0,0,7.75,49.64,35.88,63.66,82.13,16.6,2295.9,0.2,0
4878.56,42762,2.54,11.1,85.43,1.93,3.3,15.31,33.76,17.89,10.8,42762,100,37644,81.61,0.87,49.04,23.45,4.83,14.54,44339,17814,18697,13316,16296,10532,10468,2745,7.02,10.54,22.74,26.44,4.43,67.72,18.58,30.42,10.26,31.36,9.49,40.53,12.06,10.83,2.93,69.73,65.11,76.47,68.71,65.8,74.47,1193,4.75,3219,8.7,17.27,25.19,32.71,0.65,1.3,1.9,2.46,85.99,2.1,3.04,1.95,2.31,2.55,2.07,55.94,1.49,57.31,2,1281,92.92,50.74,1.25,34.04,1964,2.25,0.17,126900,157000,191800,64900,338,500,653,315,576,24.6,22.3,13.2,96,0,7.53,59.47,47.92,69.03,82.93,42.4,1009.2,2.1,0
4121.06,13902,2.48,0.26,98.43,0.57,0.51,13.37,25.57,12.28,15.03,0,0,25532,73.4,0.16,40.09,32.59,7.91,19.3,30060,11552,11603,12899,7330,5827,14582,1794,13.05,11.92,32.44,11.71,7.32,58.91,30.64,21.92,25.33,21.82,10.99,25.82,12.69,11.89,2.99,72.11,69.79,69.42,81.96,65.24,73.47,326,2.81,505,8.91,10.69,10.69,14.85,0.32,0.39,0.39,0.54,93.57,0.75,3.36,2.28,2.45,2.61,2.24,61.59,1.75,54.53,2,618,90.08,57.9,2.27,36.41,1951,10.71,0.74,65900,83400,99800,33900,265,376,460,195,430,28,25.8,15.1,6,0,3.63,59.56,47.31,81.66,85.46,44.7,311.1,0.37,0
3140.35,32397,2.96,3.77,81.7,8.56,17.32,14.8,26.1,13.03,8.38,32397,100,50268,83.5,0.14,45.48,16.95,5.8,12.22,55790,20246,20998,14637,18319,18802,15577,1714,5.44,4.09,14.84,26.72,3.42,69.86,17.08,24.37,8.82,34.98,9.61,29.57,12.89,11.3,3.26,80.76,75.51,91.6,73.94,62.85,68.31,466,2.09,4815,9.49,16.84,27.98,33.62,1.41,2.5,4.16,5,78.63,2.89,6.41,4.91,2.86,2.93,2.64,77.97,4.48,33.91,3,531,95.37,76.18,1.13,20.34,1974,1.23,0.07,176200,242800,330400,154200,549,688,835,286,745,29.3,25.7,11.1,0,0,14.86,51.44,48.03,86.55,93.03,16.1,2015.2,1.36,0
3967.52,31896,2.51,0.6,89.6,2.25,13.87,11.79,26.16,12.63,9.11,31896,100,54516,82.64,1.27,47.06,16.56,3.19,12.79,61645,27986,29682,11130,21229,23219,10666,2264,7.17,3.37,9.73,35.78,3.82,70.04,13.17,21.15,6.23,36.56,11.35,33.22,15.92,13.6,2.92,76.51,74.32,93.12,75.78,50.88,60.21,234,1.22,4279,29.35,42.84,49.38,57.05,3.94,5.75,6.62,7.65,84.69,4.94,5.13,3.44,2.48,2.5,2.46,59.22,4.57,49.37,3,1965,86.6,58.88,0.05,17.3,1977,1.2,0.12,262700,336600,437900,175200,731,872,1001,270,898,27.3,26.9,11.6,0,47,13.42,45.06,38.16,70.99,83.85,6.9,4630.7,2.7,0
6476.47,44922,2.63,14.49,82.31,2.79,0.8,20.71,38.51,24.46,8.8,0,0,26394,81.02,1.11,36.1,21.71,5.47,11.74,35633,12983,14030,7551,10886,10868,12255,6525,15.99,10.5,23.03,27.24,5.97,64.7,19.64,25.58,15.19,27.63,8.6,40.91,12.4,10.61,3.02,70.01,66.06,80.64,68.79,69.2,74.64,1569,5.68,1315,22.51,38.33,52.62,61.06,0.66,1.12,1.54,1.79,95.34,0.86,3.24,1.98,2.38,2.63,2.15,52.6,2.5,53.5,2,1598,91.46,47.57,2.32,20.34,1974,5.05,0.43,57400,78200,103800,46400,263,326,393,130,388,27.2,20.9,13.1,44,2,2.93,63.58,36.57,65.04,84.18,31.5,1428.3,0.09,0
9827.83,36118,1.6,3.42,90.18,3.1,8.73,4.58,23.07,7.61,15.91,36118,100,29314,72.18,0.72,37.2,19.97,8.39,7.08,33657,24386,24865,17011,14994,30141,15233,4094,11.43,6,15.06,37.43,7.04,65.31,8.79,22.73,4.68,46.12,12.89,58.3,18.64,15.57,2.53,67.66,66.33,77.34,67.96,59.96,63.96,480,3.51,12282,21.28,26.62,32.2,42.24,7.23,9.05,10.95,14.36,66.8,7.53,1.87,0.48,1.58,1.61,1.58,22.62,4.88,95.34,1,1253,94.74,22.28,0.88,20.99,1959,0.89,0.28,245900,351700,462600,216700,449,573,721,272,608,28.3,31.7,12.3,14,142,34.01,20.21,42.21,74.82,79.36,1.9,18541.1,5.98,0
888.29,16032,2.53,0.37,99.22,0.3,0.36,11.91,23.09,10.78,15.49,15995,100,36977,75.03,0.73,63.09,32.68,3.62,19.83,44774,16495,16545,7684,21443,19246,11817,690,4.39,4.8,14.31,30.13,3.09,62.83,15.47,28.78,8.31,36.74,6.32,24.88,8.82,7.67,3.1,84.83,84.48,93.92,88.66,67.04,72.69,54,0.46,121,4.96,4.96,12.4,12.4,0.04,0.04,0.09,0.09,97.34,0.64,4.35,3,2.48,2.76,1.8,79.46,0.47,43.76,3,203,96.9,71.61,0.99,35.96,1952,1.03,0.34,63900,81700,107700,43800,308,370,441,133,426,23.9,17,11.6,0,0,0.76,63.54,61.9,84.59,90.28,5.8,2747.1,5.01,0
5691.4,55006,2.62,0.79,96.25,2.18,0.83,18.61,34.4,21.34,12.2,55006,100,25168,76.65,0.38,51.01,29.36,6.39,15.68,31773,11843,11975,6964,8532,8554,6737,6325,12.63,8.38,21.39,19.6,4.82,61.2,26.92,25.33,18.98,23.77,8.17,38.71,10.11,9.2,2.99,75.13,75.23,83.97,74.09,63.63,73.08,620,1.67,1563,16.7,22.33,28.98,41.97,0.47,0.63,0.82,1.19,95.35,0.57,3.38,2.19,2.39,2.55,2.17,60.88,1.46,46.98,3,870,96.01,56.98,0.57,35.63,1952,2.57,0.37,41600,53800,70600,29000,243,315,380,137,379,25.7,20.4,13,13,0,2.84,82.55,47.64,76.13,93.97,18.6,2959.7,1.89,0
4295.96,15346,2.71,1.64,91.75,0.22,1.51,15.02,25.71,11.23,9.85,15395,100,28315,78.95,1.5,35.19,24.45,5.66,14.92,34073,12589,13016,6557,8279,4159,5076,1254,8.3,7.49,24.95,14.8,5.44,64.28,23.58,19.76,16.07,24.69,10.25,20.95,15.9,13.27,3.13,77.17,73.01,90.34,79.54,59.06,72.65,100,0.89,84,10.71,10.71,10.71,10.71,0.06,0.06,0.06,0.06,97.63,0.23,3.37,2.6,2.67,2.72,2.53,72.37,2.28,38.99,3,634,89.92,70.89,4.73,64.67,1971,5.4,0.33,41400,55200,73500,32100,188,260,350,162,342,22.3,19.2,12.6,20,0,0.55,68.58,48.61,78.88,91.53,18.9,810.2,0.24,0
3259.85,12287,2.77,0.1,98.54,0.21,0.72,15.72,28.99,13.12,5.31,12287,100,29661,88.74,1.74,37.71,16.86,3.85,7.64,33274,11389,11444,700,8964,888,12176,911,7.44,7.3,14.45,14.91,4.1,78.26,11.37,20.77,14.69,18.74,7.9,28.37,12.01,9.98,3.28,79.91,81.08,93.35,81.56,81.02,86.43,113,1.29,100,0,0,0,7,0,0,0,0.06,96.38,0.36,3.47,2.62,2.77,3.15,2.11,72.53,2.14,41.43,3,144,96.85,63.93,1.39,24.31,1973,1.94,0.15,51500,64000,76100,24600,229,298,347,118,338,23.4,21.3,12.7,0,0,0.81,65.68,51.87,80.82,89.87,7.3,1674.9,0.05,0
4335.25,32016,2.95,1.27,96.77,1.68,1.76,12.42,21.68,10.88,14.1,32000,100,60634,79.88,0.54,68.85,32.37,2.19,19.65,66070,25048,24835,49018,9832,15983,18296,627,1.98,7.75,16.25,36,4.41,63.74,20.5,26.21,5.82,40.76,3.38,25.84,5.85,4.67,3.22,90.39,88.04,97.58,88.74,50.77,65.3,152,0.66,3061,5.88,9.41,12.87,16.79,0.56,0.9,1.23,1.61,85.54,1.07,4.15,3.55,2.93,2.97,2.43,93.79,0.4,15.52,3,252,97.73,92.52,1.19,33.33,1961,0.18,0.23,201100,242100,302700,101600,198,634,1001,803,854,22.8,22.8,14.4,0,0,9.57,58.73,71.55,89.05,91.57,24.1,1325.9,1.5,0
8076.15,14073,2.33,8.56,90.13,0.58,1.16,12.63,24.74,11.78,17.02,0,0,22193,68.88,0.77,34.66,38.01,6.77,21.29,28899,11563,11822,8345,10545,16123,11488,2232,16.07,14.44,32.13,16.72,8.38,53.53,20.2,28.63,20.7,25.03,13.34,27.62,14.38,13.91,2.98,67.54,63.24,77.37,71.41,63.97,71.63,413,3.86,238,7.98,15.97,25.63,31.93,0.14,0.27,0.43,0.54,96.07,0.52,4.29,2.63,2.3,2.43,2.16,55.2,1.74,51.41,2,630,90.55,52.32,3.65,37.46,1952,10.55,0.76,41500,57400,80000,38500,190,275,373,183,355,25.6,17.3,12.5,36,0,1.69,63.23,52.17,79.02,85.64,4.7,3009.6,2.03,0
2957.71,17215,2.52,0.46,99.03,0.34,0.48,12.61,23.11,10.85,16.04,0,0,25322,70.57,1.16,44.07,34.21,7.33,19.99,30449,11964,11947,8963,14789,20762,14422,2072,12.36,8.72,26.26,11.07,5.64,55.83,32.78,21.23,23.66,18.75,9.85,22.55,12.03,11.04,2.99,75.9,74.23,87.2,75.6,49.73,65.02,101,0.71,275,7.64,7.64,7.64,7.64,0.12,0.12,0.12,0.12,96.03,0.22,3.14,2.21,2.46,2.57,2.21,72.69,0.8,38.09,3,360,95,69.54,3.89,48.33,1952,5.6,0.56,34100,46400,64800,30700,182,236,292,110,332,25.1,18.4,12,0,0,1.6,78.04,57.03,87.23,93.53,16.4,1049,0.07,0
3413.65,76060,2.59,2.42,95.08,1.77,2.01,11.26,24.23,11.85,16.87,76060,100,34528,74.33,0.64,49.37,35.27,6.39,19.61,41896,15922,16165,11458,7652,11421,8496,4715,6.52,8.52,26.03,21.11,5.96,58.19,19.16,24.21,11.88,28.84,8.3,31.6,10.94,9.69,3.02,78.22,75.87,86.2,77.97,55.3,66.56,1114,2.08,5586,4.87,9.38,15.04,22.11,0.36,0.69,1.1,1.62,86.28,1.92,3.3,2.31,2.46,2.71,1.97,73.09,1.04,46.14,3,1167,96.18,66.36,0.94,32.56,1955,1.68,0.37,105800,129700,161000,55200,335,461,562,227,534,27.1,22.4,14.6,84,0,7.34,76.62,63,88.23,93.89,29.6,2569.9,2.62,0
3910.87,18859,2.48,0.19,98.55,0.9,0.63,12.87,26.19,12.07,14.1,0,0,26771,77.27,0.61,52.78,29.69,7.05,11.42,33874,13509,13350,0,7984,33787,8596,1500,8.08,13.58,23.13,19.83,4.82,65.08,15.3,40.42,14.71,28.61,6.61,27.95,9.26,8.03,3.06,79.08,81.32,86.66,80.09,68.94,78.42,203,1.24,228,10.53,10.53,20.61,20.61,0.13,0.13,0.25,0.25,96.44,0.67,3.46,2.32,2.44,2.77,1.9,70.94,1.09,46.42,3,238,96.97,62.57,0,31.51,1964,2.63,0.11,41700,54500,71300,29600,201,274,340,139,330,22.8,18.4,12.8,2,0,1.21,80.92,51.42,78.23,92.55,10.6,1787.2,0.08,0
2950.16,14439,2.79,5.9,92.95,0.83,0.7,29.6,44.36,35.05,14.21,0,0,16961,67.14,1.75,39.51,36.72,6.03,19.56,26207,9771,10021,7463,215,3598,4110,2150,19.63,13.01,24.76,27.11,6.93,52.04,12.65,40.37,12.27,29.33,6.19,48.16,9.99,8.25,2.75,71.04,71.23,77.69,72.1,63.96,74.66,182,2.18,279,40.14,51.61,51.61,51.61,0.78,1,1,1,96.23,0.38,1.18,0.73,2.11,2.23,1.96,60.03,1.04,50.27,2,367,93.38,56.96,1.09,28.88,1965,5.27,0.34,39400,56600,79600,40200,148,206,260,112,265,27.1,18.5,14.1,0,0,1.93,58.09,38.18,58.82,79.47,7.7,1886,0.37,0
1247.1,14637,2.78,0.5,98.15,1.04,0.7,13.08,26.11,12.89,9.7,11878,81.15,45405,84.25,0.8,50.56,24.56,3.29,17.45,52509,18329,18312,11702,3100,29154,8289,647,4.5,2.55,10,27.12,4.97,68.9,19.36,25.99,10.48,35.15,7.28,31.31,10.33,8.85,3.21,81.05,81.61,87.66,86.21,64.43,69.49,105,0.98,485,9.69,16.29,20.62,24.12,0.32,0.54,0.68,0.8,96.55,0.44,5.3,3.99,2.74,3.1,2.04,74.69,0.86,42.78,3,215,96.07,65.96,1.4,35.35,1963,0.48,0.15,146500,170700,209100,62600,481,601,700,219,665,24,20.5,13.1,0,0,3.31,79.37,67.13,82.8,92.43,20.8,703.5,4.71,0
6013.22,49708,2.35,38.54,58.59,1.49,6.79,10.51,23.96,10.85,19.4,49708,100,26722,71.21,0.27,39.13,34.49,4.66,12.08,31847,14953,18094,10371,7465,14540,11478,5069,10.32,5.32,20.82,19.01,5.55,58.33,10.43,24.48,10.41,25.75,10.82,28.1,14.91,13.07,2.91,61.48,56.83,71.3,59.11,69.1,75,2530,7.09,10249,17.23,25.28,38.62,50.03,3.55,5.21,7.96,10.32,84.62,2.05,4.69,2.96,2.33,2.32,2.35,57.49,7.13,75.47,2,5143,80.43,57.89,0.64,28.6,1976,3.3,0.03,71300,93500,130200,58900,443,496,570,127,575,32.2,23.7,12.5,0,1,20.62,25.29,39.06,71.72,76.43,7.6,6533.6,3.3,0
